number;value;params_componentes_finais;params_componentes_pre;params_janela_nm;params_limiar_spearman;params_limiar_vip;state
188;0.5933536926963583;3;8;23;0.7273911236937248;0.6389114356146833;COMPLETE
189;0.5988701489968481;3;8;24;0.7441680519989445;0.6649055587518937;COMPLETE
190;0.5988701489968481;3;8;24;0.7459384386372688;0.6672929545267424;COMPLETE
191;-0.21760730225643465;7;8;24;0.7442895693332835;0.6667699584340044;COMPLETE
192;0.5842217737120416;3;8;24;0.7354057127691508;0.7038704536155229;COMPLETE
193;0.587707170643629;3;8;23;0.7447751725453797;0.6436640959370741;COMPLETE
194;0.590168070795805;3;8;24;0.7317613837982062;0.6184426633611425;COMPLETE
195;0.5887070340862639;3;8;23;0.7135775892647677;0.6742807574172462;COMPLETE
196;0.564181137062425;3;8;25;0.7457642825256613;0.7251197112104981;COMPLETE
197;0.5563743311781277;3;8;23;0.7383574109673644;0.6899947506148193;COMPLETE
198;0.5593447792813431;3;8;24;0.7251928881543003;0.6604338422427122;COMPLETE
199;0.5933536926963583;3;8;23;0.7487520210404787;0.6400286181009899;COMPLETE
200;0.6019978686268083;3;8;25;0.7371274656464505;0.621673867468313;COMPLETE
201;0.6019978686268083;3;8;25;0.734786615808723;0.6255553132666751;COMPLETE
202;0.6019978686268083;3;8;25;0.735074389963381;0.6170286451758125;COMPLETE
203;0.6019978686268083;3;8;25;0.7365453638448292;0.618565082618555;COMPLETE
204;0.601416977061742;3;8;25;0.7318621774548848;0.6197643320567847;COMPLETE
205;0.601416977061742;3;8;25;0.7312006509100976;0.6140259889701423;COMPLETE
206;0.601416977061742;3;8;25;0.7305752880018272;0.6162707634653206;COMPLETE
207;0.601012885366895;3;8;25;0.7261479254013157;0.6198347978595627;COMPLETE
208;0.601012885366895;3;8;25;0.7265914641143166;0.6174007880217565;COMPLETE
209;0.601416977061742;3;8;25;0.7296827807232202;0.6127063954703573;COMPLETE
210;0.5991880233628449;3;8;27;0.7164842359134468;0.6116275977985401;COMPLETE
211;0.601416977061742;3;8;25;0.7272974695398163;0.6055257222258906;COMPLETE
212;0.601416977061742;3;8;25;0.7282608722240687;0.6178914150826396;COMPLETE
213;0.6011057426265047;3;8;25;0.7251812020848227;0.6191431700909316;COMPLETE
214;0.6027657799416111;3;8;25;0.7207368222190859;0.6158131940167855;COMPLETE
215;0.5983289742719515;3;8;26;0.7105968395276315;0.6115045750023986;COMPLETE
216;0.6027657799416111;3;8;25;0.7212094650968567;0.6161208407666559;COMPLETE
217;0.6012555559402103;3;8;25;0.7188896758211296;0.6207928452379727;COMPLETE
218;0.5850706989421182;3;7;25;0.7222401894722462;0.6192728189223057;COMPLETE
219;0.597539884882268;3;8;26;0.7069492876829926;0.6017627482370728;COMPLETE
220;0.5983777489994545;3;8;25;0.7163606147415206;0.6229966002963515;COMPLETE
221;0.6023282540138007;3;8;25;0.7248096260463283;0.5983445731415811;COMPLETE
222;0.6027584375526089;3;8;25;0.7171428346705623;0.5969125013889023;COMPLETE
223;0.6023282540138007;3;8;25;0.7255332934177021;0.5986264070091083;COMPLETE
224;0.6023282540138007;3;8;25;0.7225493157527242;0.6047685271129656;COMPLETE
225;0.6005384635721168;3;8;26;0.7209622118319151;0.5929996624823435;COMPLETE
226;0.597539884882268;3;8;26;0.7030890429049672;0.5938367295281822;COMPLETE
227;0.5991505977034965;3;8;27;0.7225350699050939;0.5962840558644067;COMPLETE
228;0.5983777489994545;3;8;25;0.713300669749384;0.6266963961944562;COMPLETE
229;0.5990864758925886;3;8;26;0.7225567338049025;0.592678183332178;COMPLETE
230;0.6012555559402103;3;8;25;0.7151459131588588;0.6178188171891746;COMPLETE
231;0.6027584375526089;3;8;25;0.7150547038765889;0.6160047434373729;COMPLETE
232;0.6027584375526089;3;8;25;0.7150671794082055;0.6082883363247018;COMPLETE
233;0.5848743813051911;3;8;33;0.7096002560860248;0.5951731224661718;COMPLETE
234;0.59927128036974;3;8;25;0.6999424317269123;0.6285904806376444;COMPLETE
235;0.5983289742719515;3;8;26;0.7171081506691553;0.6120787214496719;COMPLETE
236;0.6023282540138007;3;8;25;0.7224200824146887;0.5884515753647152;COMPLETE
237;0.5983777489994545;3;8;25;0.7093780397826427;0.6333250478936276;COMPLETE
238;0.6023282540138007;3;8;25;0.7250862171216328;0.586466365489945;COMPLETE
239;0.602325518957684;3;8;25;0.7148122044286882;0.5874023557831178;COMPLETE
240;0.5691916774486088;3;8;26;0.6991631372271137;0.5914857638691497;COMPLETE
241;0.602325518957684;3;8;25;0.7156071642507775;0.5861983774572135;COMPLETE
242;0.602325518957684;3;8;25;0.7155438786182984;0.5888783811620303;COMPLETE
243;0.602325518957684;3;8;25;0.7130101261624292;0.5784552532426647;COMPLETE
244;0.597539884882268;3;8;26;0.7088606551877743;0.5788528448042474;COMPLETE
245;0.602325518957684;3;8;25;0.7135982493758387;0.5925080408717072;COMPLETE
246;0.5990486418263674;3;8;27;0.6943734768462653;0.5843309394051798;COMPLETE
247;0.6027892717416968;3;8;25;0.7050284893647772;0.5786705174705852;COMPLETE
248;0.5972360700650227;3;8;26;0.7022232933818231;0.5785571808633385;COMPLETE
249;0.5818806760125084;3;7;25;0.714032019742379;0.594429090223159;COMPLETE
250;0.5991880233628449;3;8;27;0.7117710058335069;0.5727539280849596;COMPLETE
251;0.19041041713948426;1;8;25;0.7041370358139539;0.5961057548883227;COMPLETE
252;0.6013548577763217;3;8;26;0.7186642785683;0.5729667154495657;COMPLETE
253;0.6004337918882983;3;8;25;0.6940126092702671;0.5980827629300748;COMPLETE
254;0.6005384635721168;3;8;26;0.7205902787069354;0.5807900386840249;COMPLETE
255;0.5983777489994545;3;8;25;0.7114209053753843;0.6403786142036411;COMPLETE
256;0.6026129149033013;3;8;25;0.7264326349931359;0.6068621065411501;COMPLETE
257;0.597539884882268;3;8;26;0.71761818204307;0.6004411699274288;COMPLETE
258;0.6027892717416968;3;8;25;0.7047091066029619;0.5749124514639592;COMPLETE
259;0.5991880233628449;3;8;27;0.7049976400856596;0.5699348185106754;COMPLETE
260;0.6004337918882983;3;8;25;0.6959845224194126;0.5826246378196909;COMPLETE
261;0.5888380362624939;3;8;26;0.7058572222499147;0.6412266689161941;COMPLETE
262;0.602325518957684;3;8;25;0.7142171165482734;0.5725197814706123;COMPLETE
263;0.597539884882268;3;8;26;0.7126927437449881;0.5875483248907805;COMPLETE
264;0.6009406346520181;3;8;25;0.689195562571117;0.5678888914746469;COMPLETE
265;0.6023635532636995;3;8;25;0.7205234007309187;0.5721108821129841;COMPLETE
266;0.5972360700650227;3;8;26;0.7012658205172115;0.5738430463366125;COMPLETE
267;0.5368287108333774;4;7;27;0.7200754108916032;0.5682430052987022;COMPLETE
268;0.6027584375526089;3;8;25;0.7101070987460367;0.597102395837766;COMPLETE
269;0.5311376558480945;3;8;26;0.7078870197315281;1.0039356466754676;COMPLETE
270;0.5968083025288532;3;8;24;0.6817069231467325;0.5957488792127305;COMPLETE
271;0.602325518957684;3;8;25;0.7156349560256862;0.5595354403063987;COMPLETE
272;0.6006630543241155;3;8;28;0.713700064504948;0.5688526534178041;COMPLETE
273;0.45012313122009995;2;8;26;0.6993896360366391;0.5608958133332951;COMPLETE
274;0.6005286586783396;3;8;24;0.7184069834753705;0.5879904009008982;COMPLETE
275;0.6027892717416968;3;8;25;0.7061301324410609;0.5660894889333018;COMPLETE
276;0.5261734377341962;3;8;25;0.7035336503797852;1.1207244536120768;COMPLETE
277;0.5957456907543303;3;8;26;0.6938657252242253;0.5558730097061995;COMPLETE
278;0.5998787510506411;3;8;24;0.7122548227805391;0.556636383687204;COMPLETE
279;0.4928645225116325;4;8;25;0.7091456935901048;0.5851887596797367;COMPLETE
280;0.5340722241432629;3;8;26;0.7223002268120661;0.9135624227024627;COMPLETE
281;0.5998787510506411;3;8;24;0.7067990001753245;0.556403811341283;COMPLETE
282;0.5991505977034965;3;8;27;0.7219136503207823;0.5992269209910324;COMPLETE
283;0.5962624115536862;3;7;25;0.6880896410181673;0.5780867742951736;COMPLETE
284;0.427997996636592;2;8;24;0.6990913372834812;0.598362541352972;COMPLETE
285;0.602325518957684;3;8;25;0.7156106211050948;0.5705161454722976;COMPLETE
286;0.602325518957684;3;8;25;0.7144365789294067;0.5562267619152254;COMPLETE
287;0.597539884882268;3;8;26;0.713806341785819;0.5543697123190587;COMPLETE
288;0.5998787510506411;3;8;24;0.7054581626840074;0.5662192908716303;COMPLETE
289;0.5991880233628449;3;8;27;0.7151939767149907;0.5798265521196554;COMPLETE
290;0.6027892717416968;3;8;25;0.7020429597165087;0.5573759136805102;COMPLETE
291;0.5972487940988702;3;8;24;0.6937854407754281;0.5768087570030764;COMPLETE
292;0.6027892717416968;3;8;25;0.700070687508407;0.5517709669071584;COMPLETE
293;0.5949952744256543;3;8;26;0.6845124174553677;0.5478005062065217;COMPLETE
294;0.06306105944901197;3;8;25;0.697314988945003;1.373471465877774;COMPLETE
295;0.14246510371183985;6;8;26;0.7029966269020279;0.5975200279742723;COMPLETE
296;-0.5311354814684319;8;8;24;0.7025363537755374;0.5935968067423565;COMPLETE
297;0.6007167110707385;3;8;25;0.6905898484769317;0.5501794574773946;COMPLETE
298;0.5409655187664139;4;7;27;0.7240744445832775;0.5764750468265059;COMPLETE
299;0.6031976663560175;3;8;25;0.7085910932807665;0.600556804103746;COMPLETE
300;0.4332958040891072;2;8;24;0.7064969963206803;0.6030411071722483;COMPLETE
