data;estrategia;repeticao;r2
24/02;CV=5;37;0.12090486931506161
24/02;CV=5;38;0.39937572359366924
24/02;CV=5;39;-0.20211379608848556
24/02;CV=5;40;0.1056565509355506
24/02;CV=5;41;-0.16993512961728485
24/02;CV=5;42;0.0310529498222214
24/02;CV=5;43;0.21900302238675862
24/02;CV=5;44;-0.06655284936616446
24/02;CV=5;45;-0.08474903405448964
24/02;CV=5;46;0.2681477318764375
24/02;CV=5;47;-0.3687427043686011
24/02;CV=5;48;0.19558232172840995
24/02;CV=5;49;-0.35667180882529514
24/02;CV=5;50;0.0021479565953760327
24/02;CV=5;51;-0.5937680443605449
24/02;CV=5;52;0.23710545993139798
24/02;CV=5;53;-0.6181885614265881
24/02;CV=5;54;-0.27353549914517417
24/02;CV=5;55;-0.011802802387172795
24/02;CV=5;56;-0.3595759611439058
24/02;CV=5;57;0.28981522935888815
24/02;CV=5;58;0.03375558352880503
24/02;CV=5;59;-0.29594646067865016
24/02;CV=5;60;0.19226699873952735
24/02;CV=5;61;0.15210579344083863
24/02;CV=5;62;-0.048554517744344716
24/02;CV=5;63;-0.18504622794386139
24/02;CV=5;64;-0.34916640518950604
24/02;CV=5;65;0.016845421388944293
24/02;CV=5;66;0.11972174003550573
24/02;CV=5;67;0.19205282887928876
24/02;CV=5;68;0.24396111548142807
24/02;CV=5;69;-0.13901836844285786
24/02;CV=5;70;0.13592692064600365
24/02;CV=5;71;-0.03782968626506045
24/02;CV=5;72;-0.05392180821399517
24/02;CV=5;73;-0.03998236213630557
24/02;CV=5;74;-0.31713431468585385
24/02;CV=5;75;-0.011366337730053022
24/02;CV=5;76;-0.04022301362137792
24/02;CV=5;77;-0.24616683783227966
24/02;CV=5;78;-0.3399959743843972
24/02;CV=5;79;0.09372059012036882
24/02;CV=5;80;-0.2688292599573323
24/02;CV=5;81;0.08172920733145028
24/02;CV=5;82;0.1629348977386974
24/02;CV=5;83;-0.12204180357685845
24/02;CV=5;84;-0.0630990289264266
24/02;CV=5;85;-0.10947071793688812
24/02;CV=5;86;-0.22772235706906474
24/02;CV=5;87;-0.42175261761834193
24/02;CV=5;88;0.04471192904696186
24/02;CV=5;89;0.036322033550130084
