posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
77;751;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
78;781;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
79;801;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
80;831;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
81;881;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
82;891;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
83;901;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
84;921;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
85;931;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
86;941;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
87;961;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
88;991;0.0;0.0;0.0;7.496890411186199e-12;1.674958848948028e-11;0.7402101426799007;-0.99609375;True;0.99609375
89;1001;0.0;0.0;0.0;9.926307224638545e-12;2.0774342977279238e-11;0.7313382056451614;-0.990234375;True;0.990234375
90;1031;0.0;0.0;0.0;8.233670499558598e-12;1.8041942515592616e-11;0.7372470145781638;-0.994140625;True;0.994140625
91;1041;0.0;0.0;0.0;8.233670499558598e-12;1.8041942515592616e-11;0.7372470145781638;-0.994140625;True;0.994140625
92;1071;0.0;0.0;0.0;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
93;1101;0.0;0.0;0.0;7.496890411186199e-12;1.674958848948028e-11;0.7402101426799007;-0.99609375;True;0.99609375
94;1111;0.0;0.0;0.0;7.496890411186199e-12;1.674958848948028e-11;0.7402101426799007;-0.99609375;True;0.99609375
95;1141;0.0;0.0;0.0;1.1958446412847199e-11;2.4164308958374e-11;0.725452659739454;-0.986328125;True;0.986328125
96;1151;0.0;0.0;0.0;8.854639676881703e-11;1.552210767289263e-10;0.6622470145781638;-0.943359375;True;0.943359375
97;1161;0.0;0.0;0.0;1.1557460629092276e-10;1.9429796516613328e-10;0.6538461538461539;-0.9375;True;0.9375
98;1171;0.0;0.0;0.0;1.3791353521832258e-10;2.2885166725953048e-10;0.6482746588089331;-0.93359375;True;0.93359375
99;1181;0.0;0.0;0.0;1.7953490226187587e-10;2.890314635314815e-10;0.6399610344292804;-0.927734375;True;0.927734375
100;1191;0.0;0.0;0.0;2.7766432995606736e-10;4.281876246164618e-10;0.6262213089330024;-0.91796875;True;0.91796875
101;1201;0.0;0.0;0.0;4.2754006933689625e-10;6.267939115153497e-10;0.6126269773573201;-0.908203125;True;0.908203125
102;1211;0.0;0.0;0.0;5.074855094390451e-10;7.283784323719257e-10;0.6072299550248139;-0.904296875;True;0.904296875
103;1221;0.0;0.0;0.0;7.76607345152988e-10;1.0954756980115396e-09;0.5938391749379653;-0.89453125;True;0.89453125
104;1231;0.0;0.0;0.0;9.195536902098595e-10;1.2760518393913544e-09;0.5885235732009926;-0.890625;True;0.890625
105;1241;0.0;0.0;0.0;9.195536902098595e-10;1.2760518393913544e-09;0.5885235732009926;-0.890625;True;0.890625
106;1251;0.0;0.0;0.0;4.658418529041903e-10;6.733203948601087e-10;0.609925558312655;-0.90625;True;0.90625
107;1261;0.0;0.0;0.0;3.5993478130514523e-10;5.372825592844635e-10;0.6180472627171215;-0.912109375;True;0.912109375
108;1271;0.0;0.0;0.0;2.5456520062152733e-10;3.9825570287929257e-10;0.6289576225186104;-0.919921875;True;0.919921875
109;1281;0.0;0.0;0.0;2.7766432995606736e-10;4.281876246164618e-10;0.6262213089330024;-0.91796875;True;0.91796875
110;1291;0.0;0.0;0.0;3.301660969487133e-10;4.975537581497507e-10;0.6207661290322581;-0.9140625;True;0.9140625
111;1301;0.0;0.0;0.0;3.0280606534273237e-10;4.6038194219269386e-10;0.6234908111042184;-0.916015625;True;0.916015625
112;1311;0.0;0.0;0.0;9.67857429078963e-11;1.6851235883199938e-10;0.65944091191067;-0.94140625;True;0.94140625
113;1321;0.0;0.0;0.0;1.7319186503576942e-11;3.3797955774344727e-11;0.7137513570099256;-0.978515625;True;0.978515625
114;1331;0.0;0.0;0.0;4.318040235282108e-11;7.893315973764352e-11;0.6849052031637718;-0.958984375;True;0.958984375
115;1341;0.0;0.0;0.0;4.658418529041903e-10;6.733203948601087e-10;0.609925558312655;-0.90625;True;0.90625
