genotipo_origem;cenario;dia;posicao;banda_nm;importancia_gini;representantes_spearman
EMB48;EMB48+CD202→BR16;D06;5;789;0.040606060606060604;208
CD202;EMB48+CD202→BR16;D06;1;1522;0.04999999999999999;206
CD202;EMB48+CD202→BR16;D06;2;1942;0.04999999999999999;206
CD202;EMB48+CD202→BR16;D06;3;2449;0.039999999999999994;206
CD202;EMB48+CD202→BR16;D06;4;1972;0.039999999999999994;206
CD202;EMB48+CD202→BR16;D06;5;763;0.039999999999999994;206
BR16;BR16+EMB48→CD202;D06;1;1461;0.04;207
BR16;BR16+EMB48→CD202;D06;2;828;0.04;207
BR16;BR16+EMB48→CD202;D06;3;1098;0.03;207
BR16;BR16+EMB48→CD202;D06;4;2371;0.03;207
BR16;BR16+EMB48→CD202;D06;5;1581;0.03;207
EMB48;BR16+EMB48→CD202;D06;1;779;0.07180112570356473;208
EMB48;BR16+EMB48→CD202;D06;2;749;0.05118518518518519;208
EMB48;BR16+EMB48→CD202;D06;3;425;0.04234239365461085;208
EMB48;BR16+EMB48→CD202;D06;4;759;0.04064;208
EMB48;BR16+EMB48→CD202;D06;5;789;0.040606060606060604;208
BR16;BR16+CD202→EMB48;D09;1;1953;0.06571805038330383;206
BR16;BR16+CD202→EMB48;D09;2;1963;0.05498743990762806;206
BR16;BR16+CD202→EMB48;D09;3;1943;0.04839818150136078;206
BR16;BR16+CD202→EMB48;D09;4;1523;0.046301373520926246;206
BR16;BR16+CD202→EMB48;D09;5;1993;0.0451316721608455;206
CD202;BR16+CD202→EMB48;D09;1;1460;0.05000000000000001;207
CD202;BR16+CD202→EMB48;D09;2;1470;0.04;207
CD202;BR16+CD202→EMB48;D09;3;1480;0.04;207
CD202;BR16+CD202→EMB48;D09;4;1510;0.03;207
CD202;BR16+CD202→EMB48;D09;5;465;0.03;207
EMB48;EMB48+CD202→BR16;D09;1;711;0.062401161967606755;206
EMB48;EMB48+CD202→BR16;D09;2;1311;0.0437547866323295;206
EMB48;EMB48+CD202→BR16;D09;3;1948;0.04184794913560288;206
EMB48;EMB48+CD202→BR16;D09;4;721;0.040877031804206015;206
EMB48;EMB48+CD202→BR16;D09;5;1938;0.03912473184628141;206
CD202;EMB48+CD202→BR16;D09;1;1460;0.05000000000000001;207
CD202;EMB48+CD202→BR16;D09;2;1470;0.04;207
CD202;EMB48+CD202→BR16;D09;3;1480;0.04;207
CD202;EMB48+CD202→BR16;D09;4;1510;0.03;207
CD202;EMB48+CD202→BR16;D09;5;465;0.03;207
BR16;BR16+EMB48→CD202;D09;1;1953;0.06571805038330383;206
BR16;BR16+EMB48→CD202;D09;2;1963;0.05498743990762806;206
BR16;BR16+EMB48→CD202;D09;3;1943;0.04839818150136078;206
BR16;BR16+EMB48→CD202;D09;4;1523;0.046301373520926246;206
BR16;BR16+EMB48→CD202;D09;5;1993;0.0451316721608455;206
EMB48;BR16+EMB48→CD202;D09;1;711;0.062401161967606755;206
EMB48;BR16+EMB48→CD202;D09;2;1311;0.0437547866323295;206
EMB48;BR16+EMB48→CD202;D09;3;1948;0.04184794913560288;206
EMB48;BR16+EMB48→CD202;D09;4;721;0.040877031804206015;206
EMB48;BR16+EMB48→CD202;D09;5;1938;0.03912473184628141;206
BR16;BR16+CD202→EMB48;D10;1;1823;0.04015264602847371;206
BR16;BR16+CD202→EMB48;D10;2;1863;0.029809882839319204;206
BR16;BR16+CD202→EMB48;D10;3;1903;0.027923664915028047;206
BR16;BR16+CD202→EMB48;D10;4;1723;0.02433699888688979;206
BR16;BR16+CD202→EMB48;D10;5;1643;0.023917125167211468;206
CD202;BR16+CD202→EMB48;D10;1;2446;0.06684332649687068;207
CD202;BR16+CD202→EMB48;D10;2;425;0.05725947171108462;207
CD202;BR16+CD202→EMB48;D10;3;405;0.05003086837932573;207
CD202;BR16+CD202→EMB48;D10;4;710;0.04361365522833984;207
CD202;BR16+CD202→EMB48;D10;5;415;0.03840567414098475;207
EMB48;EMB48+CD202→BR16;D10;1;715;0.09699666563383103;206
EMB48;EMB48+CD202→BR16;D10;2;725;0.07891943338710522;206
EMB48;EMB48+CD202→BR16;D10;3;1365;0.07239548570034532;206
EMB48;EMB48+CD202→BR16;D10;4;705;0.0494436426997975;206
EMB48;EMB48+CD202→BR16;D10;5;1355;0.047352223220000884;206
CD202;EMB48+CD202→BR16;D10;1;2446;0.06684332649687068;207
CD202;EMB48+CD202→BR16;D10;2;425;0.05725947171108462;207
CD202;EMB48+CD202→BR16;D10;3;405;0.05003086837932573;207
CD202;EMB48+CD202→BR16;D10;4;710;0.04361365522833984;207
CD202;EMB48+CD202→BR16;D10;5;415;0.03840567414098475;207
BR16;BR16+EMB48→CD202;D10;1;1823;0.04015264602847371;206
BR16;BR16+EMB48→CD202;D10;2;1863;0.029809882839319204;206
BR16;BR16+EMB48→CD202;D10;3;1903;0.027923664915028047;206
BR16;BR16+EMB48→CD202;D10;4;1723;0.02433699888688979;206
BR16;BR16+EMB48→CD202;D10;5;1643;0.023917125167211468;206
EMB48;BR16+EMB48→CD202;D10;1;715;0.09699666563383103;206
EMB48;BR16+EMB48→CD202;D10;2;725;0.07891943338710522;206
EMB48;BR16+EMB48→CD202;D10;3;1365;0.07239548570034532;206
EMB48;BR16+EMB48→CD202;D10;4;705;0.0494436426997975;206
EMB48;BR16+EMB48→CD202;D10;5;1355;0.047352223220000884;206
