cenario;dia;genotipos_origem;genotipo_teste;seed;n_treino;n_teste;n_bandas;bandas_nm;accuracy;f1;kappa;auc_roc
EMB48+CD202→BR16;D09;EMB48+CD202;BR16;45;132;64;10;"465;711;721;1311;1460;1470;1480;1510;1938;1948";0.5625;0.391304347826087;0.125;0.783203125
EMB48+CD202→BR16;D09;EMB48+CD202;BR16;46;132;64;10;"465;711;721;1311;1460;1470;1480;1510;1938;1948";0.5625;0.391304347826087;0.125;0.79638671875
BR16+EMB48→CD202;D09;BR16+EMB48;CD202;42;128;68;10;"711;721;1311;1523;1938;1943;1948;1953;1963;1993";0.9411764705882353;0.9411764705882353;0.8827586206896552;0.9878472222222222
BR16+EMB48→CD202;D09;BR16+EMB48;CD202;43;128;68;10;"711;721;1311;1523;1938;1943;1948;1953;1963;1993";0.8970588235294118;0.8923076923076924;0.7937608318890814;0.9817708333333334
BR16+EMB48→CD202;D09;BR16+EMB48;CD202;44;128;68;10;"711;721;1311;1523;1938;1943;1948;1953;1963;1993";0.8823529411764706;0.875;0.7638888888888888;0.9782986111111112
BR16+EMB48→CD202;D09;BR16+EMB48;CD202;45;128;68;10;"711;721;1311;1523;1938;1943;1948;1953;1963;1993";0.9264705882352942;0.9253731343283582;0.8531951640759932;0.9865451388888888
BR16+EMB48→CD202;D09;BR16+EMB48;CD202;46;128;68;10;"711;721;1311;1523;1938;1943;1948;1953;1963;1993";0.8970588235294118;0.8888888888888888;0.7930434782608695;0.984375
BR16+CD202→EMB48;D10;BR16+CD202;EMB48;42;128;64;10;"405;415;425;710;1643;1723;1823;1863;1903;2446";0.796875;0.821917808219178;0.59375;0.875
BR16+CD202→EMB48;D10;BR16+CD202;EMB48;43;128;64;10;"405;415;425;710;1643;1723;1823;1863;1903;2446";0.765625;0.7945205479452054;0.53125;0.8544921875
BR16+CD202→EMB48;D10;BR16+CD202;EMB48;44;128;64;10;"405;415;425;710;1643;1723;1823;1863;1903;2446";0.78125;0.8108108108108109;0.5625;0.8564453125
BR16+CD202→EMB48;D10;BR16+CD202;EMB48;45;128;64;10;"405;415;425;710;1643;1723;1823;1863;1903;2446";0.75;0.7777777777777778;0.5;0.857421875
BR16+CD202→EMB48;D10;BR16+CD202;EMB48;46;128;64;10;"405;415;425;710;1643;1723;1823;1863;1903;2446";0.75;0.7777777777777778;0.5;0.85302734375
EMB48+CD202→BR16;D10;EMB48+CD202;BR16;42;128;64;10;"405;415;425;705;710;715;725;1355;1365;2446";0.4375;0.1;-0.125;0.646484375
EMB48+CD202→BR16;D10;EMB48+CD202;BR16;43;128;64;10;"405;415;425;705;710;715;725;1355;1365;2446";0.4375;0.1;-0.125;0.66015625
EMB48+CD202→BR16;D10;EMB48+CD202;BR16;44;128;64;10;"405;415;425;705;710;715;725;1355;1365;2446";0.4375;0.1;-0.125;0.65478515625
EMB48+CD202→BR16;D10;EMB48+CD202;BR16;45;128;64;10;"405;415;425;705;710;715;725;1355;1365;2446";0.4375;0.1;-0.125;0.642578125
EMB48+CD202→BR16;D10;EMB48+CD202;BR16;46;128;64;10;"405;415;425;705;710;715;725;1355;1365;2446";0.40625;0.0;-0.1875;0.65673828125
BR16+EMB48→CD202;D10;BR16+EMB48;CD202;42;128;64;10;"705;715;725;1355;1365;1643;1723;1823;1863;1903";0.515625;0.6436781609195402;0.03125;0.875
BR16+EMB48→CD202;D10;BR16+EMB48;CD202;43;128;64;10;"705;715;725;1355;1365;1643;1723;1823;1863;1903";0.53125;0.6511627906976745;0.0625;0.875
BR16+EMB48→CD202;D10;BR16+EMB48;CD202;44;128;64;10;"705;715;725;1355;1365;1643;1723;1823;1863;1903";0.53125;0.6511627906976745;0.0625;0.875
BR16+EMB48→CD202;D10;BR16+EMB48;CD202;45;128;64;10;"705;715;725;1355;1365;1643;1723;1823;1863;1903";0.53125;0.6511627906976745;0.0625;0.875
BR16+EMB48→CD202;D10;BR16+EMB48;CD202;46;128;64;10;"705;715;725;1355;1365;1643;1723;1823;1863;1903";0.53125;0.6511627906976745;0.0625;0.875
