banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos
823;0.6846953777497826;False;100;16;0.16;0.000819326235828579;rejeitada;False;1.1667266151190843e-11;0.0001240546830884;True;1
833;0.6731844651944521;False;100;15;0.15;0.0008603586030323452;rejeitada;False;1.1667266151190843e-11;0.0001176210450625;True;1
843;0.6766332441639814;False;100;11;0.11;0.000720127159027109;rejeitada;False;1.1667266151190843e-11;7.387678117180955e-05;True;1
852;0.6942977493135947;False;100;11;0.11;0.0008373904587850503;rejeitada;False;1.1667266151190843e-11;5.198792280686893e-05;True;1
862;0.714909495204005;False;100;14;0.14;0.0007918087241054373;rejeitada;False;1.1667266151190843e-11;3.473102123691317e-05;True;1
872;0.7328036736227068;False;100;11;0.11;0.0007953813242563016;rejeitada;False;1.1667266151190843e-11;2.364433931691593e-05;True;1
882;0.746951085998625;False;100;11;0.11;0.0007438235116459346;rejeitada;False;1.1667266151190843e-11;2.201710446387967e-05;True;1
892;0.7551779707423137;False;100;9;0.09;0.0007358146400666271;rejeitada;False;1.1667266151190843e-11;2.006347348787689e-05;True;1
902;0.763534914238586;False;100;9;0.09;0.0006559025982020251;rejeitada;False;1.1667266151190843e-11;1.671826989946464e-05;True;1
912;0.7688078847402927;False;100;8;0.08;0.0006623138387764159;rejeitada;False;1.1667266151190843e-11;1.5243715244244124e-05;True;1
922;0.7761123544071293;False;100;10;0.1;0.0006846366592301397;rejeitada;False;1.1667266151190843e-11;1.2694643924592764e-05;True;1
933;0.7778877428371124;False;100;7;0.07;0.000705958221198776;rejeitada;False;1.1667266151190843e-11;9.846173211053927e-06;True;1
942;0.7865506799138963;False;100;7;0.07;0.0006813949599533835;rejeitada;False;1.1667266151190843e-11;1.2920083923270648e-08;True;1
950;0.7869502661423584;False;100;13;0.13;0.0007203593739944382;rejeitada;False;1.1667266151190843e-11;9.414813835656082e-09;True;1
964;0.7889260882028982;False;100;14;0.14;0.0006632380476341497;rejeitada;False;1.3086061475185444e-11;3.063059633994192e-09;True;1
968;0.7965509831571329;False;100;9;0.09;0.0006839455499245449;rejeitada;False;1.4037621109388767e-11;3.063059633994192e-09;True;1
982;0.8242551263734059;False;100;22;0.22;0.0009025333040066384;rejeitada;False;1.5350186309759518e-11;1.4316940842540886e-09;True;1
993;0.8500340624071745;False;100;35;0.35;0.0011030971208097783;tentativa;False;1.62575290870987e-11;1.4316940842540886e-09;True;1
1006;0.8627895062997577;False;100;30;0.3;0.0010675775857395494;rejeitada;False;1.5552984047160928e-11;1.3991339227071454e-09;True;1
1012;0.862346252069409;False;100;34;0.34;0.001027092522535294;tentativa;False;1.4612786410280373e-11;1.4316940842540886e-09;True;1
1024;0.8576792595966111;False;100;36;0.36;0.001088708012135833;tentativa;False;1.4037621109388767e-11;1.4316940842540886e-09;True;1
1034;0.8506228856723262;False;100;29;0.29;0.0011620359176905762;rejeitada;False;1.3086061475185444e-11;1.4316940842540886e-09;True;1
1042;0.8525560547429214;False;100;31;0.31;0.0011552497197979657;rejeitada;False;1.3086061475185444e-11;1.4316940842540886e-09;True;1
1053;0.8442502680688859;False;100;30;0.3;0.0010605862607622706;rejeitada;False;1.2565289536797108e-11;1.7497431645360306e-09;True;1
1063;0.8413593376058798;False;100;22;0.22;0.0009378318792942367;rejeitada;False;1.1667266151190843e-11;2.8746818873570204e-06;True;1
1072;0.8414075342496184;False;100;26;0.26;0.001019576841895033;rejeitada;False;1.1667266151190843e-11;3.38262118091469e-06;True;1
1082;0.8378115788396748;False;100;48;0.48;0.001375927393024253;tentativa;False;1.1667266151190843e-11;3.38262118091469e-06;True;1
1093;0.829712374997428;False;100;41;0.41;0.0012576951555766142;tentativa;False;1.1667266151190843e-11;3.4711737139137505e-06;True;1
1102;0.8189005423298716;False;100;26;0.26;0.0010444899534757218;rejeitada;False;1.1667266151190843e-11;3.38262118091469e-06;True;1
1113;0.7997459018093426;False;100;33;0.33;0.0011141599820202604;rejeitada;False;1.1667266151190843e-11;3.38262118091469e-06;True;1
1123;0.7790154261861564;False;100;19;0.19;0.0009393925207656889;rejeitada;False;1.1667266151190843e-11;9.414813835656082e-09;True;1
1133;0.7447901610153669;False;100;27;0.27;0.0010363541629977789;rejeitada;False;1.1667266151190843e-11;9.51990049406762e-09;True;1
1142;0.7048130908748598;False;100;43;0.43;0.0012057571202548178;tentativa;False;1.1667266151190843e-11;1.2920083923270648e-08;True;1
1152;0.6761936878412899;False;100;45;0.45;0.001360288054929898;tentativa;False;1.1667266151190843e-11;4.7914806603016295e-08;True;1
1159;0.6744515218389037;False;100;53;0.53;0.0014616233742337009;tentativa;False;1.2565289536797108e-11;6.231312944141154e-08;True;1
1168;0.6853945340010761;False;100;87;0.87;0.0020937905552362223;confirmada;True;1.5552984047160928e-11;1.5853590325265803e-08;True;2
1179;0.7096478259479809;False;100;96;0.96;0.0026676002354728114;confirmada;True;1.8471799904440064e-11;1.2097490032028645e-08;True;2
1188;0.7331800560636407;False;100;99;0.99;0.0029294485621638357;confirmada;True;2.5846465281640734e-11;1.1076595035213891e-08;True;2
1202;0.7528145909087369;False;100;99;0.99;0.0029576312773621294;confirmada;True;3.047442010834348e-11;1.0197158839931498e-08;True;2
1212;0.7556412303786075;False;100;98;0.98;0.0028289400090740903;confirmada;True;3.2758643797109363e-11;9.973505093294204e-09;True;2
1223;0.753377575408739;False;100;91;0.91;0.0024674997602189236;confirmada;True;3.408876602483741e-11;9.414813835656082e-09;True;2
1232;0.7483381851287066;False;100;93;0.93;0.0024475152111766295;confirmada;True;3.408876602483741e-11;8.042134450211824e-09;True;2
1243;0.7424930210408243;False;100;88;0.88;0.0023726708577858774;confirmada;True;3.408876602483741e-11;4.453209935945057e-09;True;2
1252;0.7368596736672279;False;100;93;0.93;0.0025569749460385505;confirmada;True;3.408876602483741e-11;3.271651104572591e-09;True;2
1262;0.732857250282978;False;100;98;0.98;0.0025613432531429543;confirmada;True;3.408876602483741e-11;3.325945216282597e-09;True;2
1273;0.7300892021248334;False;100;97;0.97;0.002737266513709696;confirmada;True;3.408876602483741e-11;1.5383587660376495e-09;True;2
1284;0.7288184520388359;False;100;97;0.97;0.0026562021907520082;confirmada;True;3.2758643797109363e-11;1.3991339227071454e-09;True;2
1295;0.7293464385156115;False;100;79;0.79;0.0019405354803610894;confirmada;True;2.8131127724691253e-11;8.797240787462704e-10;True;2
1304;0.7375121449088459;False;100;68;0.68;0.0017783178847221046;confirmada;True;1.8471799904440064e-11;6.232964915812863e-10;True;2
1313;0.7593721525987687;False;100;87;0.87;0.002238826326934444;confirmada;True;1.824908749460536e-11;1.4316940842540886e-09;True;2
1323;0.8051058301960851;False;100;88;0.88;0.0024568782418841733;confirmada;True;1.8471799904440064e-11;1.3297028200281612e-09;True;2
1328;0.8405972794524421;False;100;82;0.82;0.0022967555948954763;confirmada;True;1.8471799904440064e-11;1.4088760477748852e-09;True;2
