grupo;banda_representante_nm;tamanho;inicio_nm;fim_nm;r_abs_min_grupo;r_abs_medio_grupo;largura_nm;criterio_representante;q_condicao_representante
158;1979;10;1974;1983;0.9961626187871867;0.9991032643016954;9;menor_q_condicao;8.389312367478559e-32
159;1988;10;1984;1993;0.9971209561109998;0.9993204943524161;9;menor_q_condicao;8.389312367478559e-32
160;1998;10;1994;2003;0.997730686885853;0.9994546965134147;9;menor_q_condicao;8.389312367478559e-32
161;2008;10;2004;2013;0.998559547236136;0.9996586960827708;9;menor_q_condicao;8.389312367478559e-32
162;2019;10;2014;2023;0.9984507442505852;0.9996293249758995;9;menor_q_condicao;8.389312367478559e-32
163;2028;10;2024;2033;0.9981923242998963;0.9995595849408525;9;menor_q_condicao;8.389312367478559e-32
164;2034;10;2034;2043;0.998155811685582;0.9995592140283875;9;menor_q_condicao;1.718828500467757e-31
165;2048;10;2044;2053;0.9978098359260875;0.9994763001232123;9;menor_q_condicao;2.7272138598719163e-31
166;2054;10;2054;2063;0.9979853296695433;0.9995200987124898;9;menor_q_condicao;4.190954913540897e-31
167;2064;10;2064;2073;0.9980309447174279;0.9995280389827019;9;menor_q_condicao;3.226508911476881e-30
168;2074;10;2074;2083;0.9982775432621938;0.999592393002966;9;menor_q_condicao;2.4907075063813106e-29
169;2084;10;2084;2093;0.9985394464369232;0.9996467081091724;9;menor_q_condicao;1.2698784836341334e-28
170;2094;10;2094;2103;0.9986863493287572;0.9996873940602709;9;menor_q_condicao;1.4887764392783254e-27
171;2104;10;2104;2113;0.9989894437098674;0.9997543791966036;9;menor_q_condicao;1.810067863439266e-26
172;2114;10;2114;2123;0.9993115610993483;0.999829756513228;9;menor_q_condicao;2.0884473731479664e-25
173;2124;10;2124;2133;0.999363873147604;0.9998428318580317;9;menor_q_condicao;1.139301276524318e-24
174;2134;10;2134;2143;0.9993299129379665;0.9998336721600192;9;menor_q_condicao;1.620854868706528e-23
175;2144;10;2144;2153;0.9994244302958052;0.9998559610923777;9;menor_q_condicao;3.1639006210324243e-22
176;2154;10;2154;2163;0.9994715493518197;0.9998677010652145;9;menor_q_condicao;8.570696572603928e-22
177;2164;10;2164;2173;0.9996169972260163;0.9998979604241549;9;menor_q_condicao;3.442459856834445e-21
178;2174;10;2174;2183;0.999617149096544;0.9998981990622889;9;menor_q_condicao;1.2155368096538172e-20
179;2193;10;2184;2193;0.9994511742058468;0.9998582861811681;9;menor_q_condicao;1.0542370618247875e-20
180;2203;10;2194;2203;0.9994365505437338;0.9998572737109827;9;menor_q_condicao;6.390325722421524e-21
181;2213;10;2204;2213;0.9995077141336354;0.9998718926917819;9;menor_q_condicao;4.06009711176364e-21
182;2219;10;2214;2223;0.9996146701776063;0.9998934482908964;9;menor_q_condicao;3.70440186405839e-21
183;2227;10;2224;2233;0.9998164620176199;0.9999411985621947;9;menor_q_condicao;3.615747858990667e-21
184;2234;10;2234;2243;0.99952800599577;0.9998740830022832;9;menor_q_condicao;6.537827870125448e-21
185;2244;10;2244;2253;0.9984654267012893;0.999621715881419;9;menor_q_condicao;2.4853895728908252e-20
186;2254;10;2254;2263;0.998242010457736;0.9995701409767785;9;menor_q_condicao;4.305693842564008e-19
187;2273;10;2264;2273;0.9989164184812382;0.9997301201932262;9;menor_q_condicao;7.48429498376052e-19
188;2283;10;2274;2283;0.99947715876325;0.9998528364787443;9;menor_q_condicao;3.836470194387807e-19
189;2292;10;2284;2293;0.9996340165232294;0.9998924238452572;9;menor_q_condicao;1.9099642703381145e-19
190;2303;10;2294;2303;0.9997344274373566;0.9999195974563556;9;menor_q_condicao;1.1427485945534562e-19
191;2313;10;2304;2313;0.999102856700795;0.9997592819473919;9;menor_q_condicao;3.792755712628455e-21
192;2323;10;2314;2323;0.9983416571201751;0.9995763108394471;9;menor_q_condicao;2.685058626728359e-23
193;2333;10;2324;2333;0.9988534607988878;0.9997078407323631;9;menor_q_condicao;5.778237875929676e-25
194;2343;10;2334;2343;0.9989134153640273;0.9997188509645917;9;menor_q_condicao;1.7181910247562388e-26
195;2353;10;2344;2353;0.9983225165346219;0.9995689790311564;9;menor_q_condicao;2.2923037570845025e-27
196;2363;10;2354;2363;0.9983317512425227;0.9995840784453888;9;menor_q_condicao;5.504504720552211e-28
197;2373;10;2364;2373;0.9986516591607761;0.9996453602174128;9;menor_q_condicao;9.288840932075887e-29
198;2383;10;2374;2383;0.9986774918476516;0.9996389415919088;9;menor_q_condicao;2.222009779270464e-29
199;2393;10;2384;2393;0.9986886763771672;0.9996296457003258;9;menor_q_condicao;2.6495612510052782e-30
200;2403;10;2394;2403;0.9985621094389117;0.9995872399651934;9;menor_q_condicao;2.7272138598719163e-31
201;2413;10;2404;2413;0.9979231950274725;0.9994107092563056;9;menor_q_condicao;1.0680900943429838e-31
202;2423;10;2414;2423;0.9976136045070115;0.99932310576342;9;menor_q_condicao;8.826624916489856e-32
203;2429;10;2424;2433;0.997006004818597;0.999138353687759;9;menor_q_condicao;8.389312367478559e-32
204;2439;10;2434;2443;0.9958535720611965;0.9988305667795089;9;menor_q_condicao;8.389312367478559e-32
205;2447;7;2444;2450;0.9967697775611655;0.999102765251875;6;menor_q_condicao;8.389312367478559e-32
