dia;condicao;banda_nm;genotipo_a;genotipo_b;diferenca_media;q_tukey;q_critico_tukey;significativo_tukey;F_anova;p_anova
D02;IRRIG;455;BR16;CD202;-0.011628576631852017;1.0475713713579116;3.3683924527252396;False;6.925831341233798;0.0015708234655005186
D02;IRRIG;456;BR16;CD202;-0.011572182723342594;1.0408017582763525;3.3683924527252396;False;6.921472191458629;0.0015767948180956696
D02;IRRIG;457;BR16;CD202;-0.011610246734386154;1.0433547415619284;3.3683924527252396;False;6.929192308622262;0.0015662352411734567
D02;IRRIG;458;BR16;CD202;-0.011936845600566182;1.0727406072297105;3.3683924527252396;False;6.9996225078480725;0.0014731736363703197
D02;IRRIG;459;BR16;CD202;-0.012082500495313564;1.0850657498662402;3.3683924527252396;False;7.072838173593953;0.0013824067742863326
D02;IRRIG;460;BR16;CD202;-0.012137251548227646;1.0891266427036979;3.3683924527252396;False;7.127580291673557;0.0013182899056315284
D02;IRRIG;461;BR16;CD202;-0.012346927515370032;1.1072474347340782;3.3683924527252396;False;7.168069060557493;0.001272827958641267
D02;IRRIG;462;BR16;CD202;-0.01244428240515938;1.1146575285712432;3.3683924527252396;False;7.175716829071727;0.0012644222855909735
D02;IRRIG;463;BR16;CD202;-0.012407079005404054;1.1100158940899574;3.3683924527252396;False;7.20006033454636;0.0012380418759352836
D02;IRRIG;464;BR16;CD202;-0.01234988954113092;1.1034563422472212;3.3683924527252396;False;7.239569288938041;0.0011964178319571947
D02;IRRIG;465;BR16;CD202;-0.012428489056194314;1.1082817085181176;3.3683924527252396;False;7.2566395316596415;0.001178878645841047
D02;IRRIG;466;BR16;CD202;-0.012362387242399686;1.1002193276490893;3.3683924527252396;False;7.276448331152864;0.0011588545315395456
D02;IRRIG;467;BR16;CD202;-0.012338938655344078;1.096655604451211;3.3683924527252396;False;7.296005336418114;0.001139425691631229
D02;IRRIG;468;BR16;CD202;-0.012489388013171121;1.108814633761324;3.3683924527252396;False;7.310924923892394;0.0011248278527002655
D02;IRRIG;469;BR16;CD202;-0.01254884985749749;1.1124174791831443;3.3683924527252396;False;7.311157130876511;0.0011246021694504965
D02;IRRIG;470;BR16;CD202;-0.012504729263066672;1.1073932553145998;3.3683924527252396;False;7.291683472393023;0.001143690396315022
D02;IRRIG;471;BR16;CD202;-0.012481031025428413;1.1047229283219653;3.3683924527252396;False;7.284279733056256;0.0011510341467281435
D02;IRRIG;472;BR16;CD202;-0.01257258097837477;1.1122132512552994;3.3683924527252396;False;7.295661613655378;0.0011397642730584716
D02;IRRIG;473;BR16;CD202;-0.012753899975138427;1.1273833785329537;3.3683924527252396;False;7.296293592999904;0.0011391418259451946
D02;IRRIG;474;BR16;CD202;-0.01293336490744279;1.142562656445025;3.3683924527252396;False;7.332363601305827;0.0011041852621282505
D02;IRRIG;475;BR16;CD202;-0.013085545581020819;1.1554039405815943;3.3683924527252396;False;7.408160282803077;0.0010342548101987495
D02;IRRIG;476;BR16;CD202;-0.013143177983890197;1.159599042727668;3.3683924527252396;False;7.48597001911676;0.0009671637995137199
D02;IRRIG;477;BR16;CD202;-0.013224636391436118;1.1660777701991625;3.3683924527252396;False;7.5362704249110175;0.0009261743935525781
D02;IRRIG;478;BR16;CD202;-0.013326201430818418;1.1742526325571911;3.3683924527252396;False;7.552282132102434;0.0009135023822538225
D02;IRRIG;479;BR16;CD202;-0.013414519403586622;1.181396416777227;3.3683924527252396;False;7.557604752370415;0.0009093292818968321
D02;IRRIG;480;BR16;CD202;-0.013592424846033957;1.1968745209817029;3.3683924527252396;False;7.569597144021011;0.0008999980905209793
D02;IRRIG;481;BR16;CD202;-0.01378871334864007;1.2144029714275943;3.3683924527252396;False;7.574265995162912;0.0008963917966049146
