dia;celula_a;celula_b;tipo;regiao;bandas;bandas_sig;r_mediano;prop_sig
D03;CD202|NIRRIG;EMB48|IRRIG;cruzado;VIS;300;183;0.1702927822333259;0.61
D03;CD202|NIRRIG;EMB48|IRRIG;cruzado;red edge;80;0;0.08441586917190608;0.0
D03;CD202|NIRRIG;EMB48|NIRRIG;genotipo;NIR;570;352;0.15827975469732386;0.6175438596491228
D03;CD202|NIRRIG;EMB48|NIRRIG;genotipo;SWIR1;336;176;0.1568998799127831;0.5238095238095238
D03;CD202|NIRRIG;EMB48|NIRRIG;genotipo;SWIR2;651;375;0.15730572543764804;0.576036866359447
D03;CD202|NIRRIG;EMB48|NIRRIG;genotipo;VIS;300;160;0.15722455633267504;0.5333333333333333
D03;CD202|NIRRIG;EMB48|NIRRIG;genotipo;red edge;80;43;0.18198113334943594;0.5375
D03;EMB48|IRRIG;EMB48|NIRRIG;estresse;NIR;570;570;0.2827931617258853;1.0
D03;EMB48|IRRIG;EMB48|NIRRIG;estresse;SWIR1;336;260;0.30073153392491536;0.7738095238095238
D03;EMB48|IRRIG;EMB48|NIRRIG;estresse;SWIR2;651;602;0.2996763355602665;0.9247311827956989
D03;EMB48|IRRIG;EMB48|NIRRIG;estresse;VIS;300;241;0.3458615562898959;0.8033333333333333
D03;EMB48|IRRIG;EMB48|NIRRIG;estresse;red edge;80;46;0.254465144090313;0.575
D04;BR16|IRRIG;BR16|NIRRIG;estresse;NIR;570;12;0.10089319748142234;0.021052631578947368
D04;BR16|IRRIG;BR16|NIRRIG;estresse;SWIR1;450;98;0.08506522201168996;0.21777777777777776
D04;BR16|IRRIG;BR16|NIRRIG;estresse;SWIR2;651;251;0.11964326073018225;0.38556067588325654
D04;BR16|IRRIG;BR16|NIRRIG;estresse;VIS;300;83;0.10194839584607117;0.27666666666666667
D04;BR16|IRRIG;BR16|NIRRIG;estresse;red edge;80;28;0.13912384592369903;0.35
D04;BR16|IRRIG;CD202|IRRIG;genotipo;NIR;570;553;0.3134750834056742;0.9701754385964912
D04;BR16|IRRIG;CD202|IRRIG;genotipo;SWIR1;450;288;0.266397002521342;0.64
D04;BR16|IRRIG;CD202|IRRIG;genotipo;SWIR2;651;651;0.3704557950967109;1.0
D04;BR16|IRRIG;CD202|IRRIG;genotipo;VIS;300;260;0.3682642292624402;0.8666666666666667
D04;BR16|IRRIG;CD202|IRRIG;genotipo;red edge;80;80;0.5125017287994373;1.0
D04;BR16|IRRIG;CD202|NIRRIG;cruzado;NIR;570;24;0.04521119146995353;0.042105263157894736
D04;BR16|IRRIG;CD202|NIRRIG;cruzado;SWIR1;450;305;0.2320624711177687;0.6777777777777778
D04;BR16|IRRIG;CD202|NIRRIG;cruzado;SWIR2;651;130;0.07321453268563391;0.19969278033794163
D04;BR16|IRRIG;CD202|NIRRIG;cruzado;VIS;300;193;0.23360468411225543;0.6433333333333333
