dia;condicao;banda_nm;n_BR16;n_CD202;n_EMB48;F_anova;p_anova;eta2;significativo_anova
D09;NIRRIG;2284;32;32;32;16.335150926261516;8.320290695479544e-07;0.2599683566516962;True
D09;NIRRIG;2285;32;32;32;16.423994478896045;7.791213231440371e-07;0.2610132210281796;True
D09;NIRRIG;2286;32;32;32;16.513291444871033;7.294014584464802e-07;0.26206044893430386;True
D09;NIRRIG;2287;32;32;32;16.609550299072055;6.794239196122525e-07;0.2631860030749779;True
D09;NIRRIG;2288;32;32;32;16.719501316464047;6.265961933651932e-07;0.2644674660239663;True
D09;NIRRIG;2289;32;32;32;16.829790869198078;5.778136589529938e-07;0.2657484043166743;True
D09;NIRRIG;2290;32;32;32;16.936733404243107;5.342131544319787e-07;0.2669862159565463;True
D09;NIRRIG;2291;32;32;32;17.029646302572623;4.990659829039843e-07;0.26805825773789976;True
D09;NIRRIG;2292;32;32;32;17.123545716745102;4.659415320457479e-07;0.26913850090939445;True
D09;NIRRIG;2293;32;32;32;17.19992865720376;4.406576595584034e-07;0.27001488101758864;True
D09;NIRRIG;2294;32;32;32;17.242819085337832;4.2707919029616704e-07;0.27050606378505837;True
D09;NIRRIG;2295;32;32;32;17.293784929635528;4.1149835993765655e-07;0.2710888678060183;True
D09;NIRRIG;2296;32;32;32;17.343499007239604;3.9685937639139273e-07;0.27165646114215825;True
D09;NIRRIG;2297;32;32;32;17.375794713914985;3.876355447316616e-07;0.2720247128311621;True
