dia;banda_nm;genotipo_a;condicao_a;genotipo_b;condicao_b;diferenca_media;q_tukey;q_critico_tukey;significativo_tukey;F_anova;p_anova
D02;482;BR16;IRRIG;CD202;NIRRIG;0.058714514723514855;4.211946329164999;4.0724590126981886;True;4.881565192077718;0.0003206916650771127
D02;483;BR16;IRRIG;CD202;NIRRIG;0.05847949004011044;4.196036686881667;4.0724590126981886;True;4.851498613025842;0.00034018018565439923
D02;484;BR16;IRRIG;CD202;NIRRIG;0.058347442955023254;4.18956474914285;4.0724590126981886;True;4.841273569088123;0.00034707415708189925
D02;485;BR16;IRRIG;CD202;NIRRIG;0.05809393264582163;4.173222103524981;4.0724590126981886;True;4.8284206719257945;0.00035593837456157125
D02;486;BR16;IRRIG;CD202;NIRRIG;0.05770333095365077;4.145696298116106;4.0724590126981886;True;4.804187274196492;0.00037327162303811773
D02;487;BR16;IRRIG;CD202;NIRRIG;0.05743063193124076;4.126179782870048;4.0724590126981886;True;4.78041379414457;0.0003910955394768525
D02;488;BR16;IRRIG;CD202;NIRRIG;0.05708690970900454;4.102513377272904;4.0724590126981886;True;4.749259282424114;0.0004157474165069752
D02;489;BR16;IRRIG;CD202;NIRRIG;0.05665306035557771;4.073625735131932;4.0724590126981886;True;4.71834370465833;0.0004417449784758566
D02;490;BR16;IRRIG;CD202;NIRRIG;0.05614612899471538;4.040837313446745;4.0724590126981886;False;4.689996878127569;0.0004670074626533515
D02;491;BR16;IRRIG;CD202;NIRRIG;0.055718354904351175;4.015283373749965;4.0724590126981886;False;4.655329419435509;0.0004998729131343821
D02;492;BR16;IRRIG;CD202;NIRRIG;0.05537926335696386;3.99618243673812;4.0724590126981886;False;4.622033789430625;0.0005336106564633418
D02;493;BR16;IRRIG;CD202;NIRRIG;0.05508447329031174;3.980723633951427;4.0724590126981886;False;4.5869280884212325;0.0005716481118339179
D02;494;BR16;IRRIG;CD202;NIRRIG;0.0547582222043399;3.96402416849787;4.0724590126981886;False;4.544867065777408;0.0006208029084942487
D02;495;BR16;IRRIG;CD202;NIRRIG;0.0541914730669979;3.9291446134532313;4.0724590126981886;False;4.498463771255025;0.0006799409754381265
D02;496;BR16;IRRIG;CD202;NIRRIG;0.05351218157272841;3.885077822997382;4.0724590126981886;False;4.443768358141995;0.0007569043571553369
D02;497;BR16;IRRIG;CD202;NIRRIG;0.05284269099253591;3.8418294184113124;4.0724590126981886;False;4.3802441447622105;0.0008572613766155701
D02;498;BR16;IRRIG;CD202;NIRRIG;0.0519794956854307;3.787211031203179;4.0724590126981886;False;4.315635183912833;0.0009729488422633892
D02;499;BR16;IRRIG;CD202;NIRRIG;0.05096662284991771;3.7223426489448777;4.0724590126981886;False;4.25307521375332;0.0010997713092277869
D02;500;BR16;IRRIG;CD202;NIRRIG;0.04982818977771997;3.650613138638298;4.0724590126981886;False;4.192246270506227;0.0012388537947355944
D02;501;BR16;IRRIG;CD202;NIRRIG;0.04863288974114477;3.576841535393022;4.0724590126981886;False;4.126187500820857;0.0014097955558251831
D02;502;BR16;IRRIG;CD202;NIRRIG;0.047390270405986756;3.499271804874599;4.0724590126981886;False;4.054028314659879;0.0016234495848363895
D02;503;BR16;IRRIG;CD202;NIRRIG;0.04606671217269631;3.41604479024967;4.0724590126981886;False;3.9795867745862568;0.0018776462474570257
D02;504;BR16;IRRIG;CD202;NIRRIG;0.04455660262342831;3.319325735604409;4.0724590126981886;False;3.9043634767199578;0.0021746982123416136
D02;505;BR16;IRRIG;CD202;NIRRIG;0.04274958951304364;3.2003239527030924;4.0724590126981886;False;3.831869799602914;0.0025050324052517886
D02;506;BR16;IRRIG;CD202;NIRRIG;0.040787417328797204;3.068954315625482;4.0724590126981886;False;3.7612221860762185;0.0028747825521572437
D02;507;BR16;IRRIG;CD202;NIRRIG;0.038714538900638695;2.9297383499267546;4.0724590126981886;False;3.7045678517525613;0.0032100209530774486
D02;508;BR16;IRRIG;CD202;NIRRIG;0.03642837739832294;2.774745940717651;4.0724590126981886;False;3.6721389100024124;0.0034190688920579214
D02;509;BR16;IRRIG;CD202;NIRRIG;0.033821909742293155;2.5941465259551113;4.0724590126981886;False;3.67256683574073;0.0034162243466998167
D02;510;BR16;IRRIG;CD202;NIRRIG;0.031013495715506822;2.397625251645804;4.0724590126981886;False;3.7173092082063484;0.003131399023388067
D02;511;BR16;IRRIG;CD202;NIRRIG;0.028070023360534435;2.189119455035521;4.0724590126981886;False;3.821604748266121;0.0025556699818706937
D02;512;BR16;IRRIG;CD202;NIRRIG;0.02495226882872692;1.9634241714405425;4.0724590126981886;False;3.98890872827941;0.0018437644038238406
D02;513;BR16;IRRIG;CD202;NIRRIG;0.0215257757704872;1.7085711558994015;4.0724590126981886;False;4.224526468357251;0.0011629950242823016
D02;514;BR16;IRRIG;CD202;NIRRIG;0.017834543399442015;1.4274641303569384;4.0724590126981886;False;4.540921086930397;0.0006256254840165624
D02;515;BR16;IRRIG;CD202;NIRRIG;0.013979206207445305;1.1280828756144612;4.0724590126981886;False;4.948541233182958;0.0002811991503698572
D02;516;BR16;IRRIG;CD202;NIRRIG;0.010037283765653049;0.8163400601618993;4.0724590126981886;False;5.460399111302575;0.00010305093182358761
D02;517;BR16;IRRIG;CD202;NIRRIG;0.0059709395764360185;0.48923070432759935;4.0724590126981886;False;6.102194912438602;2.936519323899934e-05
D02;518;BR16;IRRIG;CD202;NIRRIG;0.001839210931169788;0.15174066650719012;4.0724590126981886;False;6.864592064358509;6.663381402363012e-06
D02;519;BR16;IRRIG;CD202;NIRRIG;-0.0022869565019254523;0.18988796151224493;4.0724590126981886;False;7.748774046564822;1.2108977655498031e-06
D02;520;BR16;IRRIG;CD202;NIRRIG;-0.006314617611696605;0.5271764322139479;4.0724590126981886;False;8.755919061031458;1.776446391048381e-07
D02;521;BR16;IRRIG;CD202;NIRRIG;-0.010153781486746505;0.8516992105595502;4.0724590126981886;False;9.858344251551577;2.2422962237009354e-08
D02;522;BR16;IRRIG;CD202;NIRRIG;-0.013807493559295336;1.1626459785690062;4.0724590126981886;False;11.019139783707692;2.6328945465927217e-09
D02;523;BR16;IRRIG;CD202;NIRRIG;-0.017351624375925745;1.464995591667779;4.0724590126981886;False;12.206642893140577;3.064751301802958e-10
D02;524;BR16;IRRIG;CD202;NIRRIG;-0.020714119088726113;1.751570605353878;4.0724590126981886;False;13.40082318454432;3.674265398622116e-11
D02;525;BR16;IRRIG;CD202;NIRRIG;-0.023809376547648364;2.014725609089943;4.0724590126981886;False;14.570798605511603;4.786836104033923e-12
D02;526;BR16;IRRIG;CD202;NIRRIG;-0.026677592205441858;2.257670289203044;4.0724590126981886;False;15.709415108467235;6.838387964325878e-13
D02;527;BR16;IRRIG;CD202;NIRRIG;-0.02939526411645832;2.4870337343889592;4.0724590126981886;False;16.816053091303907;1.0682905205742667e-13
