dia;genotipo;banda_nm;n_irrig;n_nirrig;H;p_valor;q_fdr;epsilon2;delta_cliff;significativa
D02;BR16;484;32;32;3.0001802884615385;0.08325525157553493;0.3093415235170691;0.03226097239454094;-0.251953125;False
D02;BR16;485;32;32;2.953846153846154;0.08567343955231739;0.30935955021444184;0.0315136476426799;-0.25;False
D02;BR16;486;32;32;2.8622596153846156;0.09068003393793629;0.3206633613908747;0.030036445409429284;-0.24609375;False
D02;BR16;487;32;32;2.8622596153846156;0.09068003393793629;0.3206633613908747;0.030036445409429284;-0.24609375;False
D02;BR16;488;32;32;2.8622596153846156;0.09068003393793629;0.3206633613908747;0.030036445409429284;-0.24609375;False
D02;BR16;489;32;32;2.7721153846153848;0.09591932336041574;0.3357176317614551;0.028582506203473947;-0.2421875;False
D02;BR16;490;32;32;2.727584134615385;0.09862837469918963;0.34285897713226765;0.027864260235732012;-0.240234375;False
D02;BR16;491;32;32;2.6834134615384615;0.10139817067272194;0.34431729809561706;0.027151830024813896;-0.23828125;False
D02;BR16;492;32;32;2.6834134615384615;0.10139817067272194;0.34431729809561706;0.027151830024813896;-0.23828125;False
D02;BR16;493;32;32;2.6834134615384615;0.10139817067272194;0.34431729809561706;0.027151830024813896;-0.23828125;False
D02;BR16;494;32;32;2.6834134615384615;0.10139817067272194;0.34431729809561706;0.027151830024813896;-0.23828125;False
D02;BR16;495;32;32;2.6834134615384615;0.10139817067272194;0.34431729809561706;0.027151830024813896;-0.23828125;False
D02;BR16;496;32;32;2.6834134615384615;0.10139817067272194;0.34431729809561706;0.027151830024813896;-0.23828125;False
D02;BR16;497;32;32;2.6834134615384615;0.10139817067272194;0.34431729809561706;0.027151830024813896;-0.23828125;False
D02;BR16;498;32;32;2.6834134615384615;0.10139817067272194;0.34431729809561706;0.027151830024813896;-0.23828125;False
D02;BR16;499;32;32;2.6834134615384615;0.10139817067272194;0.34431729809561706;0.027151830024813896;-0.23828125;False
D02;BR16;500;32;32;2.6396033653846156;0.10422956284277868;0.35045054654186736;0.026445215570719608;-0.236328125;False
D02;BR16;501;32;32;2.6396033653846156;0.10422956284277868;0.35045054654186736;0.026445215570719608;-0.236328125;False
D02;BR16;502;32;32;2.5103365384615386;0.11310177613206829;0.36938175612559243;0.024360266749379654;-0.23046875;False
