dia;banda_nm;n;F_genotipo;p_genotipo;q_genotipo;sig_genotipo_0.05;sig_genotipo_0.01;sig_genotipo_0.001;F_condicao;p_condicao;q_condicao;sig_condicao_0.05;sig_condicao_0.01;sig_condicao_0.001;F_interacao;p_interacao;q_interacao;sig_interacao_0.05;sig_interacao_0.01;sig_interacao_0.001
D02;459;192;3.7599075883914717;0.025074820840324332;0.06485303599433191;False;False;False;12.19369122891734;0.0005989906577474988;0.002688249100744245;True;True;False;2.9330106448395075;0.055703608336349957;0.06009894828924448;False;False;False
D02;460;192;3.8206489681207;0.023653271175092642;0.061878646913412;False;False;False;12.057739323694449;0.0006413977998472077;0.002861067827427184;True;True;False;2.901858667362545;0.057411772746960875;0.06142490657486528;False;False;False
D02;461;192;3.8394860031086075;0.023229185329358602;0.06100263650514019;False;False;False;11.998048784486453;0.0006609726850587543;0.0029405232548313236;True;True;False;2.860310302967763;0.05977271468557832;0.06365204455873372;False;False;False
D02;462;192;3.8746133126039273;0.022458766079906583;0.05956245496881391;False;False;False;11.938336346325327;0.0006811648548424016;0.003010924821727943;True;True;False;2.7976583371422006;0.06351980131021907;0.0670850218780944;False;False;False
D02;463;192;3.911765927957823;0.02167200192671175;0.058152412234742885;False;False;False;11.742068538923126;0.0007520793166869153;0.003288943877451734;True;True;False;2.8164788398996636;0.06236988903750578;0.06597248190609818;False;False;False
D02;464;192;3.978862859931674;0.020321000428453057;0.05624611589575873;False;False;False;11.748699094409197;0.000749564773840602;0.0032849516050151174;True;True;False;2.8336640440596175;0.0613382760614612;0.06498182035230213;False;False;False
D02;465;192;3.9668450134896776;0.020556564818674652;0.05651677539289773;False;False;False;11.546999871709602;0.0008300391667491741;0.003599176175481091;True;True;False;2.8368402262980217;0.06114950930452301;0.06482588797057127;False;False;False
D02;466;192;4.031786146842403;0.01931567139302255;0.05404698775864837;False;False;False;11.441402801041221;0.0008756347370188995;0.003772955558037317;True;True;False;2.8575265478533147;0.05993436294066409;0.06379106299496734;False;False;False
D02;467;192;4.098975567489922;0.018111397226216762;0.05137825132914326;False;False;False;11.447979145347594;0.000872721882616389;0.0037683212236762397;True;True;False;2.8980229231246004;0.05762572811773231;0.061621672768231994;False;False;False
D02;468;192;4.102489128290213;0.018050551603786703;0.051276566952031206;False;False;False;11.427669492311628;0.0008817496656935736;0.003791338709302976;True;True;False;2.8807830680408384;0.05859735207237057;0.06251651876546621;False;False;False
D02;469;192;4.112118794234501;0.017884848104505486;0.05087631548174862;False;False;False;11.286850502338115;0.0009470242345861645;0.004029764948415401;True;True;False;2.8639380700150605;0.059562717121541445;0.06349435177561409;False;False;False
D02;470;192;4.070700463252989;0.018608656067486337;0.05242630988243747;False;False;False;11.223061582029118;0.0009781965718069407;0.004145209026396767;True;True;False;2.8366722141158993;0.06115947987472228;0.06482588797057127;False;False;False
D02;471;192;4.121724767846443;0.017721083993913388;0.050483356593098175;False;False;False;11.289314701029905;0.0009458405864366612;0.004029764948415401;True;True;False;2.8069515438413513;0.06294934258734305;0.06651679631460103;False;False;False
D02;472;192;4.121665192869387;0.01772209495223339;0.050483356593098175;False;False;False;11.17218266169713;0.001003810018140862;0.004227544860794473;True;True;False;2.814254503408981;0.0625046897355598;0.06608098899362533;False;False;False
D02;473;192;4.089067903342288;0.018284090740100737;0.05165381557568404;False;False;False;11.000224629406542;0.0010955605497713927;0.004585703444043115;True;True;False;2.8272612495327674;0.06172059910693034;0.06535309693769444;False;False;False
D02;474;192;4.1551983921330296;0.017162170871080837;0.04943765794464438;True;False;False;11.010471056806585;0.0010898607017281352;0.004571174436082629;True;True;False;2.839496856678426;0.06099207155321125;0.06471533303447298;False;False;False
D02;475;192;4.247977296163015;0.01570437126344885;0.04597032898659484;True;False;False;10.964796050124699;0.0011155043955686998;0.004639800774730024;True;True;False;2.8395474056255705;0.06098907988686438;0.06471533303447298;False;False;False
D02;476;192;4.370424224196408;0.013970033120845845;0.0423854111403178;True;False;False;10.98297476332667;0.0011052251254547705;0.0046073510819262895;True;True;False;2.8500302830550437;0.06037185967140817;0.06419009029863046;False;False;False
D02;477;192;4.433809968779654;0.01314962885958145;0.040374085016469385;True;False;False;10.995275658995547;0.0010983244431568046;0.004587909232005308;True;True;False;2.8607453290760203;0.05974749325057461;0.06365204455873372;False;False;False
D02;478;192;4.4486193788010056;0.012965073833244274;0.03998701719095339;True;False;False;10.925894084928967;0.001137831179687546;0.004695556840119028;True;True;False;2.8447711745474455;0.06068071694974255;0.06448505205384558;False;False;False
D02;479;192;4.438202222090713;0.013094617253600232;0.040289054679230996;True;False;False;10.961227523398943;0.0011175336824556959;0.004639800774730024;True;True;False;2.83997299914986;0.06096389763010256;0.06471533303447298;False;False;False
D02;480;192;4.437588389790598;0.013102291307190187;0.040289054679230996;True;False;False;10.829079399286142;0.001195398952003478;0.004887784598883714;True;True;False;2.8557737335983684;0.06003637272253059;0.06386649401136422;False;False;False
D02;481;192;4.430472310115263;0.01319158814616008;0.040442372627465355;True;False;False;10.827557012525903;0.001196327581004205;0.004887784598883714;True;True;False;2.883358138657696;0.05845117797180027;0.06240674962007411;False;False;False
D02;482;192;4.426597991840018;0.013240463786363522;0.04053162869527102;True;False;False;10.692558619558872;0.001281676073255977;0.005195094123019781;True;True;False;2.914768738333953;0.05669753838542502;0.060819378257587195;False;False;False
D02;483;192;4.35874694221275;0.014126724609167718;0.04267144649985713;True;False;False;10.573256891213255;0.0013622741312617956;0.005489242128129554;True;True;False;2.9189041758019783;0.05647065464963757;0.06060769894631431;False;False;False
D02;484;192;4.341990623101517;0.014354678009613897;0.04323266460751557;True;False;False;10.541250077249364;0.0013847662452224694;0.005568932488139775;True;True;False;2.9195726370437987;0.05643406691240914;0.06060769894631431;False;False;False
D02;485;192;4.331818812505826;0.014494865484622643;0.04359086379613056;True;False;False;10.486073924081369;0.0014244355420199128;0.005717254983723759;True;True;False;2.9189376926362587;0.05646881955941171;0.06060769894631431;False;False;False
D02;486;192;4.3241103134133505;0.014602024755516911;0.04384883275778212;True;False;False;10.245035749628183;0.0016118341213951083;0.006381991859037388;True;True;False;2.9298442919341747;0.05587485866465738;0.06025201636236187;False;False;False
D02;487;192;4.313164534859936;0.014755564218498723;0.044116125673674754;True;False;False;10.1189556406165;0.0017197208371938783;0.006756987427365219;True;True;False;2.9214626329921196;0.05633074895636675;0.060584355589673934;False;False;False
D02;488;192;4.2867963404636855;0.015132173176392188;0.04484983697222598;True;False;False;10.046894345982492;0.0017846744069214507;0.006972128016373135;True;True;False;2.961225225205438;0.05420087145303336;0.05869376312047066;False;False;False
D02;489;192;4.3012084193947695;0.01492514148701334;0.0444934087061982;True;False;False;9.903057795961399;0.0019219359339288128;0.00743752943488301;True;True;False;2.973618749072328;0.05355379618060221;0.05811578622561647;False;False;False
D02;490;192;4.272076498565247;0.015346623001326287;0.0454198034281677;True;False;False;9.829512267907099;0.001996248701922289;0.007652908575032924;True;True;False;3.017736837900586;0.05131306310215281;0.05592087801408896;False;False;False
D02;491;192;4.207444494462044;0.01632519189619562;0.04729232850154974;True;False;False;9.667271517019396;0.002170764614439063;0.008244885600397257;True;True;False;3.046231505361761;0.04991643691496971;0.05460192646005487;False;False;False
D02;492;192;4.156028364114429;0.017148541425254998;0.04943765794464438;True;False;False;9.649929815552845;0.002190320235246457;0.00830378336874396;True;True;False;3.0707133756371388;0.0487472102655562;0.05343694722322596;False;False;False
