banda_nm;rho_spearman_etr;p_spearman_etr;passa_p_0001;intervalo_10nm
1390;-0.10956521739130433;0.610301978528463;False;104
1391;-0.10956521739130433;0.610301978528463;False;104
1392;-0.11043478260869564;0.6074532587517109;False;104
1393;-0.11043478260869564;0.6074532587517109;False;104
1394;-0.11391304347826085;0.5961140506694134;False;104
1395;-0.09565217391304347;0.6566056616723347;False;104
1396;-0.12347826086956522;0.5654049951421966;False;104
1397;-0.11739130434782606;0.5848655143600633;False;104
1398;-0.1243478260869565;0.5626487416883165;False;104
1399;-0.1243478260869565;0.5626487416883165;False;104
1400;-0.1217391304347826;0.5709355226889167;False;105
1401;-0.1060869565217391;0.6217515088671185;False;105
1402;-0.1060869565217391;0.6217515088671185;False;105
1403;-0.11652173913043477;0.5876690329511151;False;105
1404;-0.11478260869565216;0.5932933336915412;False;105
1405;-0.11478260869565216;0.5932933336915412;False;105
1406;-0.1217391304347826;0.5709355226889167;False;105
1407;-0.1217391304347826;0.5709355226889167;False;105
1408;-0.12347826086956522;0.5654049951421966;False;105
1409;-0.1269565217391304;0.5544163873133455;False;105
1410;-0.1269565217391304;0.5544163873133455;False;106
1411;-0.12869565217391304;0.5489587886992761;False;106
1412;-0.11391304347826085;0.5961140506694134;False;106
1413;-0.11478260869565216;0.5932933336915412;False;106
1414;-0.12956521739130433;0.5462392692585831;False;106
1415;-0.12956521739130433;0.5462392692585831;False;106
1416;-0.13826086956521738;0.5193911494591461;False;106
1417;-0.13826086956521738;0.5193911494591461;False;106
1418;-0.13826086956521738;0.5193911494591461;False;106
1419;-0.13826086956521738;0.5193911494591461;False;106
1420;-0.13826086956521738;0.5193911494591461;False;107
1421;-0.13826086956521738;0.5193911494591461;False;107
1422;-0.13826086956521738;0.5193911494591461;False;107
1423;-0.13826086956521738;0.5193911494591461;False;107
1424;-0.13826086956521738;0.5193911494591461;False;107
1425;-0.1408695652173913;0.511462281884675;False;107
1426;-0.1678260869565217;0.4331165526494356;False;107
1427;-0.1678260869565217;0.4331165526494356;False;107
1428;-0.18521739130434778;0.3862326819021753;False;107
1429;-0.19999999999999998;0.34875573272354565;False;107
1430;-0.19999999999999998;0.34875573272354565;False;108
1431;-0.19999999999999998;0.34875573272354565;False;108
1432;-0.19999999999999998;0.34875573272354565;False;108
1433;-0.19826086956521738;0.35304943524240406;False;108
1434;-0.19565217391304346;0.3595479632342293;False;108
1435;-0.19565217391304346;0.3595479632342293;False;108
1436;-0.19565217391304346;0.3595479632342293;False;108
1437;-0.19826086956521738;0.35304943524240406;False;108
1438;-0.19826086956521738;0.35304943524240406;False;108
1439;-0.19826086956521738;0.35304943524240406;False;108
1440;-0.19826086956521738;0.35304943524240406;False;109
1441;-0.2069565217391304;0.33189156768314726;False;109
1442;-0.20956521739130432;0.32569617157142167;False;109
1443;-0.20956521739130432;0.32569617157142167;False;109
1444;-0.20956521739130432;0.32569617157142167;False;109
1445;-0.20956521739130432;0.32569617157142167;False;109
1446;-0.21826086956521737;0.3055543915844942;False;109
1447;-0.21826086956521737;0.3055543915844942;False;109
1448;-0.21826086956521737;0.3055543915844942;False;109
1449;-0.21826086956521737;0.3055543915844942;False;109
1450;-0.21826086956521737;0.3055543915844942;False;110
1451;-0.21826086956521737;0.3055543915844942;False;110
1452;-0.21826086956521737;0.3055543915844942;False;110
1453;-0.21826086956521737;0.3055543915844942;False;110
1454;-0.21826086956521737;0.3055543915844942;False;110
1455;-0.21826086956521737;0.3055543915844942;False;110
1456;-0.21826086956521737;0.3055543915844942;False;110
1457;-0.21826086956521737;0.3055543915844942;False;110
1458;-0.21826086956521737;0.3055543915844942;False;110
1459;-0.21826086956521737;0.3055543915844942;False;110
