grupo;banda_nm;n_unidades;n_dias;via;p_shapiro_residuo;F_anova_mr;epsilon_gg;p_anova_mr;p_anova_mr_gg;eta2_parcial;chi2_friedman;p_friedman;w_kendall;p_tempo;efeito_tempo;q_tempo;significativa
todas;1072;24;7;anova_mr;0.07542216499538262;10.695208013559185;0.6684915369937258;9.599416408172139e-10;3.550424310762642e-07;0.3174103572607523;;;;3.550424310762642e-07;0.3174103572607523;3.38262118091469e-06;True
todas;1073;24;7;anova_mr;0.07611853564088063;10.655195594594371;0.6703677320062498;1.0368759096065698e-09;3.6181237498026505e-07;0.3165988313645631;;;;3.6181237498026505e-07;0.3165988313645631;3.38262118091469e-06;True
todas;1074;24;7;anova_mr;0.07715510148475842;10.62597531004703;0.6725055339727851;1.0969788881793853e-09;3.619352551919099e-07;0.31600496973160264;;;;3.619352551919099e-07;0.31600496973160264;3.38262118091469e-06;True
todas;1075;24;7;anova_mr;0.07869956054743182;10.603436155148126;0.6747204276016348;1.145740115607812e-09;3.5847482366529756e-07;0.3155461871872783;;;;3.5847482366529756e-07;0.3155461871872783;3.38262118091469e-06;True
todas;1076;24;7;anova_mr;0.08024001656335739;10.579632063673124;0.6767670269104791;1.199623740228393e-09;3.567802862561805e-07;0.3150609882684899;;;;3.567802862561805e-07;0.3150609882684899;3.38262118091469e-06;True
todas;1077;24;7;anova_mr;0.08194847672619682;10.558306502387175;0.6783131310465853;1.2500732884148696e-09;3.571399349494523e-07;0.3146257246811936;;;;3.571399349494523e-07;0.3146257246811936;3.38262118091469e-06;True
todas;1078;24;7;anova_mr;0.08339198981305207;10.538680612575426;0.6792981948083892;1.298398716482564e-09;3.602865852978467e-07;0.3142246629887974;;;;3.602865852978467e-07;0.3142246629887974;3.38262118091469e-06;True
todas;1079;24;7;anova_mr;0.08542994884157007;10.515955364976517;0.67997300206268;1.3567246826657302e-09;3.6699911107228123e-07;0.31375967805367927;;;;3.6699911107228123e-07;0.31375967805367927;3.38262118091469e-06;True
todas;1080;24;7;anova_mr;0.08890471835758723;10.492218413814811;0.6804874041403028;1.4204829759890702e-09;3.754266398865979e-07;0.3132733187207151;;;;3.754266398865979e-07;0.3132733187207151;3.38262118091469e-06;True
todas;1081;24;7;anova_mr;0.09291416698993299;10.46832321966815;0.6810946613459886;1.4877320971957852e-09;3.835303330651143e-07;0.3127830202594759;;;;3.835303330651143e-07;0.3127830202594759;3.38262118091469e-06;True
todas;1082;24;7;anova_mr;0.09749088954586627;10.44182871421971;0.6821798770255301;1.5660733167456002e-09;3.8994104027065103e-07;0.31223856815520884;;;;3.8994104027065103e-07;0.31223856815520884;3.38262118091469e-06;True
todas;1083;24;7;anova_mr;0.10229449350008019;10.414821371503368;0.6835548506950931;1.6502334046619056e-09;3.94789742508076e-07;0.3116826888197964;;;;3.94789742508076e-07;0.3116826888197964;3.38262118091469e-06;True
todas;1084;24;7;anova_mr;0.10558080331731123;10.393622773599049;0.6850810902679519;1.7194892073926984e-09;3.9560233203394343e-07;0.31124573826761415;;;;3.9560233203394343e-07;0.31124573826761415;3.38262118091469e-06;True
todas;1085;24;7;anova_mr;0.10779912453301277;10.361620077440186;0.6864439606130068;1.8296591360641652e-09;4.03451960907346e-07;0.3105850391374407;;;;4.03451960907346e-07;0.3105850391374407;3.38262118091469e-06;True
todas;1086;24;7;anova_mr;0.10819023502373748;10.320835804688635;0.6875096098059409;1.9804851722256744e-09;4.1861247593407045e-07;0.30974120412778994;;;;4.1861247593407045e-07;0.30974120412778994;3.38262118091469e-06;True
todas;1087;24;7;anova_mr;0.10699502945128286;10.276559399084134;0.6881294204773786;2.1585222054788655e-09;4.398559571467321e-07;0.3088227744893294;;;;4.398559571467321e-07;0.3088227744893294;3.38262118091469e-06;True
todas;1088;24;7;anova_mr;0.1053593147516968;10.226413857055778;0.6884009373994928;2.3798235767957637e-09;4.687426313394332e-07;0.30777964486480847;;;;4.687426313394332e-07;0.30777964486480847;3.38262118091469e-06;True
todas;1089;24;7;anova_mr;0.10488776266013733;10.179961425328338;0.6886472495348792;2.6052921069137712e-09;4.972971854088157e-07;0.30681052623398586;;;;4.972971854088157e-07;0.30681052623398586;3.438698090963182e-06;True
todas;1090;24;7;anova_mr;0.10477738316797025;10.14350158197519;0.6888404511443668;2.7973194031043115e-09;5.209666429651329e-07;0.3060479761586702;;;;5.209666429651329e-07;0.3060479761586702;3.4711737139137505e-06;True
todas;1091;24;7;anova_mr;0.10475450373114442;10.123272974046332;0.6892024014741644;2.909976990035595e-09;5.323085007712062e-07;0.30562417494123845;;;;5.323085007712062e-07;0.30562417494123845;3.4711737139137505e-06;True
todas;1092;24;7;anova_mr;0.10534656528628683;10.112401659910367;0.6894732014448703;2.9724079944919427e-09;5.378240709432233e-07;0.3053962006070248;;;;5.378240709432233e-07;0.3053962006070248;3.4711737139137505e-06;True
todas;1093;24;7;anova_mr;0.10506568002674277;10.113221563261849;0.6894657422435736;2.9676526003850217e-09;5.372885834691289e-07;0.3054133994163278;;;;5.372885834691289e-07;0.3054133994163278;3.4711737139137505e-06;True
todas;1094;24;7;anova_mr;0.10414781255647121;10.125309940239042;0.6893029291671894;2.8984277193689134e-09;5.299296412210894e-07;0.30566687401585035;;;;5.299296412210894e-07;0.30566687401585035;3.4711737139137505e-06;True
todas;1095;24;7;anova_mr;0.10281893008839449;10.134715235705613;0.6888199116977533;2.8456999206346484e-09;5.274395822931074e-07;0.30586396061085064;;;;5.274395822931074e-07;0.30586396061085064;3.4711737139137505e-06;True
todas;1096;24;7;anova_mr;0.10090996642235206;10.151160317496858;0.6881548282456389;2.755827396008055e-09;5.215549609912947e-07;0.3062082961886307;;;;5.215549609912947e-07;0.3062082961886307;3.4711737139137505e-06;True
todas;1097;24;7;anova_mr;0.09889720178941935;10.175987343064543;0.6875807834568232;2.6255580302243966e-09;5.091203072305307e-07;0.3067274905140642;;;;5.091203072305307e-07;0.3067274905140642;3.4527143678172035e-06;True
todas;1098;24;7;anova_mr;0.09779924407567714;10.196813369688062;0.6869009369786343;2.521099400644826e-09;5.006312639940124e-07;0.3071624151430978;;;;5.006312639940124e-07;0.3071624151430978;3.438698090963182e-06;True
todas;1099;24;7;anova_mr;0.09707360891534994;10.221296867923403;0.6861702536398786;2.4036599373063596e-09;4.903023508501296e-07;0.30767302398096646;;;;4.903023508501296e-07;0.30767302398096646;3.429549427935985e-06;True
todas;1100;24;7;anova_mr;0.09637697844163229;10.247794948544982;0.6853721524702641;2.2827851453277582e-09;4.794710530931623e-07;0.3082248000026677;;;;4.794710530931623e-07;0.3082248000026677;3.3956287254507067e-06;True
todas;1101;24;7;anova_mr;0.09567360167705335;10.27115523861346;0.684446108396419;2.1813343828706216e-09;4.71956622930451e-07;0.308710508094804;;;;4.71956622930451e-07;0.308710508094804;3.38262118091469e-06;True
todas;1102;24;7;anova_mr;0.0944526342475514;10.292161259114739;0.6833814107385348;2.0940089564177506e-09;4.6719736562901347e-07;0.3091466840800835;;;;4.6719736562901347e-07;0.3091466840800835;3.38262118091469e-06;True
todas;1103;24;7;anova_mr;0.09259073854683186;10.317187230759485;0.6823040263976025;1.994576912715016e-09;4.6013396601263685e-07;0.30966561370565915;;;;4.6013396601263685e-07;0.30966561370565915;3.38262118091469e-06;True
todas;1104;24;7;anova_mr;0.09033747367802447;10.341228843741632;0.6813423998562238;1.9035572598760215e-09;4.529276269908405e-07;0.3101633983620477;;;;4.529276269908405e-07;0.3101633983620477;3.38262118091469e-06;True
todas;1105;24;7;anova_mr;0.0879344441126117;10.364776873619281;0.6804913718644767;1.8184812892190845e-09;4.453241709479396e-07;0.3106502678821886;;;;4.453241709479396e-07;0.3106502678821886;3.38262118091469e-06;True
