seed;fold;dia;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;2;D05;1;1;0.8500402143060064
42;2;D05;1;1;0.8611260959697508
42;2;D05;1;1;0.5035375378198221
42;2;D05;1;1;1.0365061597778928
42;2;D05;1;1;1.1724597761738276
42;2;D05;1;1;1.2414391368131414
42;2;D06;0;0;-0.07738586902845568
42;2;D06;0;0;-0.11636488583046312
42;2;D06;0;0;-0.13511945207339282
42;2;D06;1;1;0.630319298182823
42;2;D06;1;1;0.6240717231878823
42;2;D06;1;1;0.8151955595908057
42;2;D06;0;0;0.16833375996951266
42;2;D06;1;1;0.8685119313443603
42;2;D06;0;0;-0.11648239952393902
42;2;D06;0;1;0.5699229246772949
42;2;D06;1;1;1.2077762971352866
42;2;D06;1;1;1.2671230308461245
42;2;D09;0;0;0.2722262525337965
42;2;D09;0;0;0.2677675369044343
42;2;D09;0;1;0.7277405956683505
42;2;D09;0;1;0.6974879820112805
42;2;D09;1;1;0.8289750217698006
42;2;D09;0;1;0.5050287438801921
42;2;D09;0;0;0.39759061096941506
42;2;D09;1;1;0.8215191005676665
42;2;D09;0;0;0.46478837630520353
42;2;D09;0;0;0.29902731107467395
42;2;D09;0;0;0.24529178519826111
42;2;D09;0;0;0.47688407319345966
42;2;D09;0;0;0.41687709198744116
42;2;D09;1;1;0.8209621148037318
42;2;D10;0;0;0.23233060086975482
42;2;D10;1;1;0.8401367455112276
42;2;D10;1;1;0.7223687097199565
42;2;D10;0;1;0.7422282051543811
42;2;D10;1;1;0.7224758440529768
42;2;D10;1;1;0.7340150031820057
42;2;D10;0;0;0.18002963248792592
42;2;D10;0;0;0.11661021936014365
42;2;D10;0;0;0.2573510060132013
42;2;D10;1;1;0.8072389401004593
42;2;D10;0;1;0.5277475645189389
42;2;D10;0;0;0.4905260982820309
42;2;D10;0;1;0.7415005647021077
42;2;D10;0;1;0.6666246141039527
42;2;D10;1;1;0.6741075600342054
42;2;D10;1;1;0.5887678864821518
42;3;D02;0;0;0.4386011443000871
