dia;banda_nm;F_anova;p_anova;eta2;significativo_anova
D02;603;5.470314544197175;0.00010106800947297319;0.12819953643723714;True
D02;604;5.3763329334866965;0.00012150880351596395;0.12627515248637486;True
D02;605;5.280103655062892;0.00014673857434407454;0.12429592210831612;True
D02;606;5.183368883572757;0.00017739282448724517;0.12229723639504653;True
D02;607;5.087066804565713;0.00021427842797198856;0.12029840773956127;True
D02;608;4.993361376258245;0.00025752626740997226;0.1183447161682633;True
D02;609;4.8988744063084555;0.0003099827585210926;0.11636592368308941;True
D02;610;4.804518105114371;0.00037302940220560105;0.1143809838049156;True
D02;611;4.717135939495683;0.00044279294290820503;0.11253478640106812;True
D02;612;4.6370236019542475;0.0005181491597773636;0.11083540851452078;True
D02;613;4.559188700208901;0.0006036094127195962;0.10917809569863829;True
D02;614;4.488873345068669;0.0006928474819612934;0.10767557347768075;True
D02;615;4.426964247733437;0.000782251519146151;0.10634847694843572;True
D02;616;4.373617661476094;0.0008684658690403063;0.10520175792949757;True
D02;617;4.328950684667947;0.0009478974130874537;0.10423934660757395;True
D02;618;4.292769330038277;0.0010175173272066855;0.10345825066273825;True
D02;619;4.2609696689845675;0.0010829009421990284;0.10277062266037745;True
D02;620;4.234157064863249;0.0011412725196199153;0.10219001338038258;True
D02;621;4.21583349958762;0.0011829560964294653;0.1017927962171665;True
D02;622;4.202024309364602;0.00121536917441117;0.10149320907514559;True
D02;623;4.18992051928201;0.0012445059310546814;0.10123045579007776;True
D02;624;4.182492254452231;0.0012627309857848887;0.10106912432279253;True
D02;625;4.177598790300221;0.0012748819534861178;0.10096281351346899;True
D02;626;4.172054770885678;0.001288789063712302;0.10084233896503575;True
D02;627;4.169361777010956;0.0012955988211671447;0.1007838070958078;True
D02;628;4.168696966132224;0.001297285431735005;0.1007693563455735;True
D02;629;4.169179867768285;0.0012960601037913062;0.10077985304747587;True
D02;630;4.16848531956171;0.0012978228331221291;0.10076475576422855;True
D02;631;4.165588804492392;0.0013051998217373018;0.10070178921374377;True
D02;632;4.158422633296663;0.0013236309188711614;0.10054596787133793;True
D02;633;4.147616120672425;0.001351916027665183;0.10031088874791881;True
D02;634;4.133388915782419;0.0013900741557364496;0.10000121026137682;True
D02;635;4.116272956594772;0.0014374034592359618;0.09962837066448768;True
D02;636;4.09476174261745;0.0014991675825492688;0.09915935023767268;True
D02;637;4.076192564427781;0.0015546040714559948;0.098754083435997;True
D02;638;4.059963225028726;0.0016047228996907681;0.0983995841897869;True
D02;639;4.049978663184922;0.0016363522663686472;0.09818135171060045;True
D02;640;4.040955418502821;0.00166546949781313;0.09798403983361258;True
D02;641;4.0409714004776935;0.0016654174723925472;0.09798438938882238;True
D02;642;4.048732543683692;0.0016403430434351056;0.09815410787218634;True
D02;643;4.063630027587834;0.0015932604546947124;0.09847970294593549;True
D02;644;4.088958877069365;0.0015162767725012205;0.0990327435778539;True
D02;645;4.120988805579251;0.0014242052961548019;0.09973112756253369;True
D02;646;4.157510937161471;0.0013259942706587544;0.10052614006385409;True
D02;647;4.197115319041806;0.0012271034908868132;0.10138666152690161;True
D02;648;4.237769370494737;0.0011332293613571893;0.1022682792745159;True
D02;649;4.275413068647012;0.0010527002829973766;0.1030830738580148;True
D02;650;4.308530218523422;0.0009865848578454737;0.10379866971538095;True
D02;651;4.341305157380278;0.0009252295444721108;0.10450574773549205;True
D02;652;4.371074843347494;0.0008728041009904916;0.1051470249402749;True
D02;653;4.3964901961657;0.0008303977137338883;0.10569377789886132;True
D02;654;4.422515026992644;0.0007891033109253103;0.10625295045541089;True
D02;655;4.454516234658776;0.0007411237210935885;0.10693957432045222;True
D02;656;4.488873990188703;0.0006928466056073715;0.10767558728607397;True
