dia;genotipo;condicao_a;condicao_b;posicao;banda_nm;p_valor;q_fdr;H;epsilon2;delta_cliff;n_irrig;n_nirrig
D03;CD202;IRRIG;NIRRIG;3;1900;6.211923275036763e-12;1.7452951557671782e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D03;CD202;IRRIG;NIRRIG;4;1901;6.211923275036763e-12;1.7452951557671782e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D03;CD202;IRRIG;NIRRIG;5;1902;6.211923275036763e-12;1.7452951557671782e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D03;EMB48;IRRIG;NIRRIG;1;400;6.211923275036763e-12;2.0886319077213767e-10;47.261538461538464;0.7461538461538462;-1.0;32;32
D03;EMB48;IRRIG;NIRRIG;2;401;6.211923275036763e-12;2.0886319077213767e-10;47.261538461538464;0.7461538461538462;-1.0;32;32
D03;EMB48;IRRIG;NIRRIG;3;1908;6.211923275036763e-12;2.0886319077213767e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D03;EMB48;IRRIG;NIRRIG;4;1909;6.211923275036763e-12;2.0886319077213767e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D03;EMB48;IRRIG;NIRRIG;5;1910;6.211923275036763e-12;2.0886319077213767e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D04;BR16;IRRIG;NIRRIG;1;708;1.9497641198802688e-09;5.958922853194248e-07;36.023257211538464;0.5648912453473945;0.873046875;32;32
D04;BR16;IRRIG;NIRRIG;2;707;2.11771295059208e-09;5.958922853194248e-07;35.862259615384616;0.5622945099255583;0.87109375;32;32
D04;BR16;IRRIG;NIRRIG;3;709;2.11771295059208e-09;5.958922853194248e-07;35.862259615384616;0.5622945099255583;0.87109375;32;32
D04;BR16;IRRIG;NIRRIG;4;710;2.299723891442753e-09;5.958922853194248e-07;35.70162259615385;0.559703590260546;0.869140625;32;32
D04;BR16;IRRIG;NIRRIG;5;711;2.7105891414141154e-09;5.958922853194248e-07;35.38143028846154;0.5545391982009925;0.865234375;32;32
D04;CD202;IRRIG;NIRRIG;1;1951;5.1727067837186485e-11;4.7462581345843605e-09;43.11075721153846;0.6792057614764269;0.955078125;32;32
D04;CD202;IRRIG;NIRRIG;2;1952;5.1727067837186485e-11;4.7462581345843605e-09;43.11075721153846;0.6792057614764269;0.955078125;32;32
D04;CD202;IRRIG;NIRRIG;3;1956;5.1727067837186485e-11;4.7462581345843605e-09;43.11075721153846;0.6792057614764269;0.955078125;32;32
D04;CD202;IRRIG;NIRRIG;4;1962;5.1727067837186485e-11;4.7462581345843605e-09;43.11075721153846;0.6792057614764269;0.955078125;32;32
D04;CD202;IRRIG;NIRRIG;5;1942;5.6600257038351806e-11;4.7462581345843605e-09;42.93461538461538;0.6763647642679901;0.953125;32;32
D04;EMB48;IRRIG;NIRRIG;1;1923;8.854639676881703e-11;1.2475974605404349e-08;42.05931490384616;0.6622470145781638;0.943359375;32;32
D04;EMB48;IRRIG;NIRRIG;2;1924;8.854639676881703e-11;1.2475974605404349e-08;42.05931490384616;0.6622470145781638;0.943359375;32;32
D04;EMB48;IRRIG;NIRRIG;3;1925;8.854639676881703e-11;1.2475974605404349e-08;42.05931490384616;0.6622470145781638;0.943359375;32;32
D04;EMB48;IRRIG;NIRRIG;4;1926;8.854639676881703e-11;1.2475974605404349e-08;42.05931490384616;0.6622470145781638;0.943359375;32;32
D04;EMB48;IRRIG;NIRRIG;5;1927;8.854639676881703e-11;1.2475974605404349e-08;42.05931490384616;0.6622470145781638;0.943359375;32;32
D05;BR16;IRRIG;NIRRIG;1;400;6.211923275036763e-12;1.5350186309759518e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D05;BR16;IRRIG;NIRRIG;2;401;6.211923275036763e-12;1.5350186309759518e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D05;BR16;IRRIG;NIRRIG;3;402;6.211923275036763e-12;1.5350186309759518e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D05;BR16;IRRIG;NIRRIG;4;403;6.211923275036763e-12;1.5350186309759518e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D05;BR16;IRRIG;NIRRIG;5;404;6.211923275036763e-12;1.5350186309759518e-11;47.261538461538464;0.7461538461538462;-1.0;32;32
D05;CD202;IRRIG;NIRRIG;1;1901;6.211923275036763e-12;1.7217100860946486e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D05;CD202;IRRIG;NIRRIG;2;1902;6.211923275036763e-12;1.7217100860946486e-10;47.261538461538464;0.7461538461538462;1.0;32;32
