modelo;modo;genotipo;fold;accuracy;precision;recall;f1_score;kappa;auc_roc;dia;bloco_teste;n_teste
random_forest;por_dia;EMB48;1;1.0;1.0;1.0;1.0;1.0;1.0;D06;B4;16
random_forest;por_dia;EMB48;2;1.0;1.0;1.0;1.0;1.0;1.0;D06;B3;16
random_forest;por_dia;EMB48;3;1.0;1.0;1.0;1.0;1.0;1.0;D06;B2;16
random_forest;por_dia;EMB48;4;1.0;1.0;1.0;1.0;1.0;1.0;D06;B1;16
gradient_boosting;por_dia;EMB48;1;0.5;0.5;1.0;0.6666666666666666;0.0;0.5;D06;B4;16
gradient_boosting;por_dia;EMB48;2;1.0;1.0;1.0;1.0;1.0;1.0;D06;B3;16
gradient_boosting;por_dia;EMB48;3;1.0;1.0;1.0;1.0;1.0;1.0;D06;B2;16
gradient_boosting;por_dia;EMB48;4;0.75;1.0;0.5;0.6666666666666666;0.5;0.75;D06;B1;16
random_forest;por_dia;EMB48;1;1.0;1.0;1.0;1.0;1.0;1.0;D09;B4;16
random_forest;por_dia;EMB48;2;0.75;1.0;0.5;0.6666666666666666;0.5;1.0;D09;B3;16
random_forest;por_dia;EMB48;3;1.0;1.0;1.0;1.0;1.0;1.0;D09;B2;16
random_forest;por_dia;EMB48;4;0.75;0.6666666666666666;1.0;0.8;0.5;1.0;D09;B1;16
gradient_boosting;por_dia;EMB48;1;1.0;1.0;1.0;1.0;1.0;1.0;D09;B4;16
gradient_boosting;por_dia;EMB48;2;1.0;1.0;1.0;1.0;1.0;1.0;D09;B3;16
gradient_boosting;por_dia;EMB48;3;0.75;1.0;0.5;0.6666666666666666;0.5;1.0;D09;B2;16
gradient_boosting;por_dia;EMB48;4;0.9375;0.8888888888888888;1.0;0.9411764705882353;0.875;1.0;D09;B1;16
random_forest;por_dia;EMB48;1;1.0;1.0;1.0;1.0;1.0;1.0;D10;B4;16
random_forest;por_dia;EMB48;2;0.4375;0.4444444444444444;0.5;0.47058823529411764;-0.125;0.6875;D10;B3;16
random_forest;por_dia;EMB48;3;1.0;1.0;1.0;1.0;1.0;1.0;D10;B2;16
random_forest;por_dia;EMB48;4;1.0;1.0;1.0;1.0;1.0;1.0;D10;B1;16
gradient_boosting;por_dia;EMB48;1;1.0;1.0;1.0;1.0;1.0;1.0;D10;B4;16
gradient_boosting;por_dia;EMB48;2;1.0;1.0;1.0;1.0;1.0;1.0;D10;B3;16
gradient_boosting;por_dia;EMB48;3;1.0;1.0;1.0;1.0;1.0;1.0;D10;B2;16
gradient_boosting;por_dia;EMB48;4;1.0;1.0;1.0;1.0;1.0;1.0;D10;B1;16
