posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
145;975;0.0;0.0;0.0004232804232804
146;1755;0.0;0.0;0.0004183006535947
147;1245;0.0;0.0;0.0003868803868803
148;905;0.0;0.0;0.0003203203203203
149;1015;0.0;0.0;0.0003128054740957
150;675;0.0;0.0;0.0001882352941176
151;2175;0.0;0.0;0.0001042684913652
152;1385;0.0;0.0;0.0
153;1765;0.0;0.0;0.0
154;1705;0.0;0.0;0.0
155;1485;0.0;0.0;0.0
156;1435;0.0;0.0;0.0
157;1175;0.0;0.0;0.0
158;1355;0.0;0.0;0.0
159;1205;0.0;0.0;0.0
160;1195;0.0;0.0;0.0
161;1785;0.0;0.0;0.0
162;1165;0.0;0.0;0.0
163;1115;0.0;0.0;0.0
164;1775;0.0;0.0;0.0
165;1825;0.0;0.0;0.0
166;1795;0.0;0.0;0.0
167;1805;0.0;0.0;0.0
168;1815;0.0;0.0;0.0
169;1865;0.0;0.0;0.0
170;1875;0.0;0.0;0.0
171;2075;0.0;0.0;0.0
172;2115;0.0;0.0;0.0
173;1085;0.0;0.0;0.0
174;2125;0.0;0.0;0.0
175;2225;0.0;0.0;0.0
176;2305;0.0;0.0;0.0
177;2325;0.0;0.0;0.0
178;1095;0.0;0.0;0.0
179;735;0.0;0.0;0.0
180;1075;0.0;0.0;0.0
181;855;0.0;0.0;0.0
182;475;0.0;0.0;0.0
183;515;0.0;0.0;0.0
184;565;0.0;0.0;0.0
185;695;0.0;0.0;0.0
186;755;0.0;0.0;0.0
187;765;0.0;0.0;0.0
188;775;0.0;0.0;0.0
189;785;0.0;0.0;0.0
190;805;0.0;0.0;0.0
191;825;0.0;0.0;0.0
192;845;0.0;0.0;0.0
193;865;0.0;0.0;0.0
194;1055;0.0;0.0;0.0
195;875;0.0;0.0;0.0
196;885;0.0;0.0;0.0
197;915;0.0;0.0;0.0
198;935;0.0;0.0;0.0
199;945;0.0;0.0;0.0
200;955;0.0;0.0;0.0
201;965;0.0;0.0;0.0
202;985;0.0;0.0;0.0
203;1005;0.0;0.0;0.0
204;1025;0.0;0.0;0.0
205;1035;0.0;0.0;0.0
206;2445;0.0;0.0;0.0
