genotipo_avaliado;fold;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_nirrig;acerto
CD202;2;B2_CD202_NIRRIG_REPROD00004.asd;B2;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
CD202;2;B3_CD202_IRRIG_REPROD00001.asd;B3;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.09;True
CD202;2;B3_CD202_IRRIG_REPROD00003.asd;B3;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.036;True
CD202;2;B3_CD202_IRRIG_REPROD00007.asd;B3;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.122;True
CD202;2;B3_CD202_NIRRIG_REPROD00006.asd;B3;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
CD202;2;B4_CD202_IRRIG_REPROD00005.asd;B4;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.0;True
CD202;2;B4_CD202_NIRRIG_REPROD00002.asd;B4;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
CD202;2;B4_CD202_NIRRIG_REPROD00006.asd;B4;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
CD202;2;B1_CD202_IRRIG_REPROD00004.asd;B1;CD202;IRRIG;D04M;manha;D04;IRRIG;NIRRIG;0.588;False
CD202;2;B1_CD202_NIRRIG_REPROD00000.asd;B1;CD202;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;1.0;True
CD202;2;B1_CD202_NIRRIG_REPROD00002.asd;B1;CD202;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;1.0;True
CD202;2;B2_CD202_IRRIG_REPROD00000.asd;B2;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.124;True
CD202;2;B2_CD202_IRRIG_REPROD00005.asd;B2;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.134;True
CD202;2;B2_CD202_NIRRIG_REPROD00002.asd;B2;CD202;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.842;True
CD202;2;B2_CD202_NIRRIG_REPROD00004.asd;B2;CD202;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.698;True
CD202;2;B3_CD202_IRRIG_REPROD00001.asd;B3;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.0;True
CD202;2;B3_CD202_IRRIG_REPROD00003.asd;B3;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.0;True
CD202;2;B3_CD202_IRRIG_REPROD00007.asd;B3;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.0;True
CD202;2;B3_CD202_NIRRIG_REPROD00006.asd;B3;CD202;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.898;True
CD202;2;B4_CD202_IRRIG_REPROD00005.asd;B4;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.0;True
CD202;2;B4_CD202_NIRRIG_REPROD00002.asd;B4;CD202;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.934;True
CD202;2;B4_CD202_NIRRIG_REPROD00006.asd;B4;CD202;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.778;True
CD202;2;B1_CD202_IRRIG_REPROD00004.asd;B1;CD202;IRRIG;D05M;manha;D05;IRRIG;NIRRIG;0.824;False
CD202;2;B1_CD202_NIRRIG_REPROD00000.asd;B1;CD202;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;1.0;True
CD202;2;B1_CD202_NIRRIG_REPROD00002.asd;B1;CD202;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;1.0;True
CD202;2;B2_CD202_IRRIG_REPROD00000.asd;B2;CD202;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.062;True
CD202;2;B2_CD202_IRRIG_REPROD00005.asd;B2;CD202;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.316;True
CD202;2;B2_CD202_NIRRIG_REPROD00002.asd;B2;CD202;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;1.0;True
CD202;2;B2_CD202_NIRRIG_REPROD00004.asd;B2;CD202;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;1.0;True
CD202;2;B3_CD202_IRRIG_REPROD00001.asd;B3;CD202;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.0;True
CD202;2;B3_CD202_IRRIG_REPROD00003.asd;B3;CD202;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.0;True
CD202;2;B3_CD202_IRRIG_REPROD00007.asd;B3;CD202;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.004;True
CD202;2;B3_CD202_NIRRIG_REPROD00006.asd;B3;CD202;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;1.0;True
CD202;2;B4_CD202_IRRIG_REPROD00005.asd;B4;CD202;IRRIG;D05M;manha;D05;IRRIG;IRRIG;0.02;True
CD202;2;B4_CD202_NIRRIG_REPROD00002.asd;B4;CD202;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;1.0;True
CD202;2;B4_CD202_NIRRIG_REPROD00006.asd;B4;CD202;NIRRIG;D05M;manha;D05;NIRRIG;NIRRIG;1.0;True
CD202;2;B1_CD202_IRRIG_REPROD00004.asd;B1;CD202;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.0;True
CD202;2;B1_CD202_NIRRIG_REPROD00000.asd;B1;CD202;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;1.0;True
CD202;2;B1_CD202_NIRRIG_REPROD00002.asd;B1;CD202;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;1.0;True
CD202;2;B2_CD202_IRRIG_REPROD00000.asd;B2;CD202;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.092;True
CD202;2;B2_CD202_IRRIG_REPROD00005.asd;B2;CD202;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.0;True
CD202;2;B2_CD202_NIRRIG_REPROD00002.asd;B2;CD202;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;1.0;True
CD202;2;B2_CD202_NIRRIG_REPROD00004.asd;B2;CD202;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;1.0;True
CD202;2;B3_CD202_IRRIG_REPROD00001.asd;B3;CD202;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.0;True
CD202;2;B3_CD202_IRRIG_REPROD00003.asd;B3;CD202;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.0;True
CD202;2;B3_CD202_IRRIG_REPROD00007.asd;B3;CD202;IRRIG;D06M;manha;D06;IRRIG;IRRIG;0.304;True
CD202;2;B3_CD202_NIRRIG_REPROD00006.asd;B3;CD202;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;1.0;True
CD202;2;B4_CD202_IRRIG_REPROD00005.asd;B4;CD202;IRRIG;D06M;manha;D06;IRRIG;NIRRIG;0.834;False
CD202;2;B4_CD202_NIRRIG_REPROD00002.asd;B4;CD202;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;1.0;True
CD202;2;B4_CD202_NIRRIG_REPROD00006.asd;B4;CD202;NIRRIG;D06M;manha;D06;NIRRIG;NIRRIG;1.0;True
CD202;2;B1_CD202_IRR_REP_RECUP00000.asd;B1;CD202;IRRIG;D09M;manha;D09;IRRIG;IRRIG;0.002;True
CD202;2;B1_CD202_IRR_REP_RECUP00009.asd;B1;CD202;IRRIG;D09M;manha;D09;IRRIG;IRRIG;0.114;True
CD202;2;B1_CD202_NIRR_REP_RECUP00004.asd;B1;CD202;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;1.0;True
CD202;2;B2_CD202_IRR_REP_RECUP00000.asd;B2;CD202;IRRIG;D09M;manha;D09;IRRIG;IRRIG;0.104;True
CD202;2;B2_CD202_NIRR_REP_RECUP00003.asd;B2;CD202;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;1.0;True
CD202;2;B2_CD202_NIRR_REP_RECUP00005.asd;B2;CD202;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;1.0;True
CD202;2;B2_CD202_NIRR_REP_RECUP00007.asd;B2;CD202;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;1.0;True
CD202;2;B3_CD202_IRR_REP_RECUP00002.asd;B3;CD202;IRRIG;D09M;manha;D09;IRRIG;IRRIG;0.224;True
CD202;2;B3_CD202_IRR_REP_RECUP00007.asd;B3;CD202;IRRIG;D09M;manha;D09;IRRIG;IRRIG;0.0;True
CD202;2;B3_CD202_NIRR_REP_RECUP00007.asd;B3;CD202;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;1.0;True
CD202;2;B4_CD202_IRR_REP_RECUP00002.asd;B4;CD202;IRRIG;D09M;manha;D09;IRRIG;IRRIG;0.058;True
CD202;2;B4_CD202_IRR_REP_RECUP00006.asd;B4;CD202;IRRIG;D09M;manha;D09;IRRIG;IRRIG;0.174;True
CD202;2;B4_CD202_NIRR_REP_RECUP00003.asd;B4;CD202;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;1.0;True
CD202;2;B4_CD202_NIRR_REP_RECUP00004.asd;B4;CD202;NIRRIG;D09M;manha;D09;NIRRIG;NIRRIG;1.0;True
CD202;2;B1_CD202_IRR_REP_RECUP00000.asd;B1;CD202;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.0;True
CD202;2;B1_CD202_NIRR_REP_RECUP00004.asd;B1;CD202;NIRRIG;D10M;manha;D10;NIRRIG;NIRRIG;0.956;True
CD202;2;B2_CD202_IRR_REP_RECUP00000.asd;B2;CD202;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.036;True
CD202;2;B3_CD202_IRR_REP_RECUP00002.asd;B3;CD202;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.0;True
CD202;2;B3_CD202_IRR_REP_RECUP00007.asd;B3;CD202;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.014;True
CD202;2;B3_CD202_NIRR_REP_RECUP00007.asd;B3;CD202;NIRRIG;D10M;manha;D10;NIRRIG;NIRRIG;0.924;True
CD202;2;B4_CD202_IRR_REP_RECUP00002.asd;B4;CD202;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.008;True
CD202;2;B4_CD202_IRR_REP_RECUP00006.asd;B4;CD202;IRRIG;D10M;manha;D10;IRRIG;IRRIG;0.042;True
CD202;2;B4_CD202_NIRR_REP_RECUP00003.asd;B4;CD202;NIRRIG;D10M;manha;D10;NIRRIG;IRRIG;0.308;False
CD202;2;B4_CD202_NIRR_REP_RECUP00004.asd;B4;CD202;NIRRIG;D10M;manha;D10;NIRRIG;NIRRIG;0.638;True
CD202;3;B1_CD202_IRRIG_REPROD00001.asd;B1;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.084;True
CD202;3;B1_CD202_IRRIG_REPROD00006.asd;B1;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.032;True
