data_etr;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_etr;p_spearman_etr;indice_X
02/03;D09M;1383;1.0504449486991154;0.9856848268734043;-0.6731898397888063;0.0003119990429262692;1033
02/03;D09M;1702;1.0499004472778308;0.9851738940636117;-0.6501413504420319;0.0005837629876363063;1352
02/03;D09M;1710;1.0463413292449162;0.9818341963036864;-0.6501413504420319;0.0005837629876363063;1360
02/03;D09M;1735;1.042850399776671;0.9785584832710366;-0.66449229663908;0.00039766354294567044;1385
02/03;D09M;1764;1.0426091319640374;0.978332089662861;-0.6692759453714295;0.0003483251799196553;1414
02/03;D09M;1748;1.0425767134785582;0.9783016697828981;-0.6753642255762378;0.00029327690239996446;1398
02/03;D09M;1770;1.0424660036035127;0.9781977851917519;-0.6692759453714295;0.0003483251799196553;1420
02/03;D09M;1724;1.0422503535826868;0.9779954300338672;-0.6575342621192992;0.00048020379921081494;1374
02/03;D09M;1460;1.0417114667789005;0.9774897656993846;-0.66449229663908;0.00039766354294567044;1110
02/03;D09M;737;1.0414349338178934;0.9772302810456363;-0.6723200854738336;0.000319773595956836;387
02/03;D09M;1850;1.0413914955019987;0.9771895207098041;-0.6592737707492444;0.00045829088298593126;1500
02/03;D09M;1750;1.0411959889629991;0.9770060671844335;-0.6753642255762378;0.00029327690239996446;1400
02/03;D09M;1780;1.0398954164088463;0.9757856751644006;-0.6692759453714295;0.0003483251799196553;1430
02/03;D09M;1390;1.038213660411783;0.9742075997299273;-0.6653620509540528;0.0003882670554853683;1040
02/03;D09M;1790;1.0372745129437133;0.9733263508737935;-0.6684061910564567;0.00035687852047958964;1440
02/03;D09M;1453;1.0348793264870193;0.9710788280970692;-0.6610132793791895;0.0004372491547191156;1103
02/03;D09M;1800;1.0338939190330532;0.9701541711915689;-0.6684061910564567;0.00035687852047958964;1450
02/03;D09M;1810;1.0295506889658128;0.9660787020466121;-0.6684061910564567;0.00035687852047958964;1460
02/03;D09M;1820;1.0275885804622014;0.9642375578885254;-0.6684061910564567;0.00035687852047958964;1470
02/03;D09M;1860;1.0236105668610678;0.960504789548224;-0.6383996671899016;0.0007878818220296633;1510
02/03;D09M;1440;1.0176455364855408;0.9549075043784707;-0.6492715961270592;0.0005971291946547507;1090
02/03;D09M;1400;1.0102379316319021;0.9479565797091221;-0.6323113869850931;0.0009160506186994531;1050
