dia;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
D02;602;192;0.9900820259243852;0.20666113387535134;0.20952149558988906;True;True
D02;603;192;0.9901931591891829;0.2141256417645293;0.2168749092637282;True;True
D02;604;192;0.990301473619536;0.2216339189200393;0.22414751859220938;True;True
D02;605;192;0.9904002618910817;0.22868668287697125;0.2310524071825951;True;True
D02;606;192;0.9904640257641555;0.23334450431748877;0.23541051566904547;True;True
D02;607;192;0.9904952128307098;0.23565316609695203;0.23750596740287402;True;True
D02;608;192;0.9905293742301527;0.23820518328414875;0.23984233231015664;True;True
D02;609;192;0.9905057314252051;0.23643636639650772;0.23817828461652127;True;True
D02;610;192;0.9904135279350951;0.22964887206804885;0.23191030852366726;True;True
D02;611;192;0.9902495891801693;0.21800829664948962;0.22069842864170938;True;True
D02;612;192;0.9900386655100241;0.20381328213871597;0.20683871433275924;True;True
D02;613;192;0.9898125220640116;0.18953234366821314;0.19272723691795;True;True
D02;614;192;0.9896025424497841;0.17710195924636746;0.1810748347030407;True;True
D02;615;192;0.9893857792429082;0.1650674771926426;0.170900250238319;True;True
D02;616;192;0.9891478534107363;0.152742366858175;0.1602427592972465;True;True
D02;617;192;0.9889367226616848;0.14253833484014988;0.1509272714285738;True;True
D02;618;192;0.988717033513246;0.13261119207725686;0.14180685868115425;True;True
D02;619;192;0.9885057210516525;0.123689913853677;0.1332587270527198;True;True
D02;620;192;0.9883140827384996;0.11610154037042636;0.1265272366098536;True;True
D02;621;192;0.9881180824104634;0.10880755314973117;0.11955249607707621;True;True
D02;622;192;0.9879652410701968;0.10343091301896523;0.11485479296258673;True;True
D02;623;192;0.9878369149040794;0.0991176961123108;0.11114838421342234;True;True
D02;624;192;0.9877108158111179;0.09505104271974979;0.10768866445018813;True;True
D02;625;192;0.9876250353766864;0.09237868169064573;0.10550198827422261;True;True
D02;626;192;0.987571558323225;0.09075019746262736;0.10426056497841363;True;True
D02;627;192;0.9875280724426833;0.08944681609783856;0.10312277673786784;True;True
D02;628;192;0.9874939462775442;0.08843689398387139;0.10253480472635398;True;True
D02;629;192;0.9874511523463692;0.08718632802916154;0.10234513989280067;True;True
D02;630;192;0.987387652256182;0.0853627423453327;0.10099124689147972;True;True
D02;631;192;0.9873195588965065;0.08344907881138686;0.09968203881313595;True;True
D02;632;192;0.9872310258528026;0.08102427653166311;0.09802175096553262;True;True
D02;633;192;0.9871075622344241;0.07775883516022593;0.09590100475864305;True;True
D02;634;192;0.9869114793902682;0.07283906345696375;0.09159590383214757;True;True
D02;635;192;0.9866790512088616;0.0674070452561052;0.08626896616437019;True;True
D02;636;192;0.9864025941346916;0.06147011528818214;0.08097315764679612;True;True
D02;637;192;0.9860691921657373;0.055002675865578506;0.07416863129539876;True;True
D02;638;192;0.9857076969726998;0.04876061694786708;0.0678480497693863;False;True
D02;639;192;0.9853233068517924;0.04290480646807868;0.06137173314316677;False;True
D02;640;192;0.9849932622529299;0.038447723388068775;0.056616135176986236;False;True
D02;641;192;0.9847501712159529;0.03546803333123775;0.05317612307190689;False;True
D02;642;192;0.9845304045939853;0.03297674798090067;0.050193258395780364;False;True
D02;643;192;0.9842669958078882;0.030224300523845605;0.04668304632689958;False;False
D02;644;192;0.9839868207607662;0.02755318627130939;0.04304004953728527;False;False
D02;645;192;0.9837453313243455;0.02544508543215481;0.0406304066896094;False;False
D02;646;192;0.9835531694681973;0.023886064195726517;0.038788850091397535;False;False
D02;647;192;0.9834163742942265;0.022836196893401297;0.037371668148172166;False;False
D02;648;192;0.9832845043541898;0.02186892930436334;0.036055606111936665;False;False
D02;649;192;0.9831479575355174;0.02091161918703285;0.03475667013987389;False;False
D02;650;192;0.9830205196418219;0.020057011645720574;0.03363608412540711;False;False
D02;651;192;0.982879685423787;0.019154227689407406;0.032440397184950114;False;False
D02;652;192;0.9827268860112647;0.01822190546731577;0.031274584195367904;False;False
D02;653;192;0.9826108608430606;0.017545257370999552;0.030418700649129403;False;False
D02;654;192;0.9824890039764372;0.016862415999715677;0.029635659996072712;False;False
D02;655;192;0.9823847181421178;0.016299802664416666;0.029088002974802227;False;False
D02;656;192;0.9822575798976639;0.015639988373774824;0.028287139466148293;False;False
D02;657;192;0.9820911903076727;0.014817857284196245;0.02750355229853982;False;False
D02;658;192;0.9819260684360172;0.01404602030952597;0.026823452192586375;False;False
D02;659;192;0.9817132738311736;0.013112149648458265;0.025563706206262263;False;False
D02;660;192;0.9815409939037695;0.01240319958901118;0.024626294634135463;False;False
D02;661;192;0.9814148170681878;0.011909200656990648;0.02400804448418461;False;False
D02;662;192;0.9812761512913095;0.011389718245972876;0.023343329615832388;False;False
D02;663;192;0.9812367950273184;0.011246592652715787;0.023252783801129114;False;False
D02;664;192;0.9812358025390965;0.011243007465906828;0.023252783801129114;False;False
D02;665;192;0.9813584557013204;0.01169515834780263;0.02372578612397942;False;False
D02;666;192;0.9814862199664133;0.012186199170741091;0.024336800875550124;False;False
D02;667;192;0.9816107240982646;0.012685248239904343;0.02492433398329157;False;False
D02;668;192;0.9817444015060092;0.013244647223382344;0.02569987838709289;False;False
D02;669;192;0.9818581168000508;0.013740562265220772;0.02636801688914118;False;False
D02;670;192;0.9820100492364953;0.014433247930435909;0.027258371551863766;False;False
D02;671;192;0.9821627740720236;0.01516594597304243;0.027831181181090646;False;False
D02;672;192;0.9822785428530604;0.015746854189403293;0.028430279878931475;False;False
D02;673;192;0.9823865853870721;0.01630970425208316;0.029088002974802227;False;False
D02;674;192;0.982456529465226;0.016685104053381066;0.029450213780967783;False;False
