banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos
1272;0.8383887371481024;False;100;51;0.51;0.001189042518171455;tentativa;False;9.824799225403252e-12;1.5383587660376495e-09;True;1
1281;0.8393001371404206;False;100;55;0.55;0.0012715064306176801;tentativa;False;9.824799225403252e-12;1.3297028200281612e-09;True;1
1292;0.8417315621852658;False;100;73;0.73;0.0017388953392400734;confirmada;True;9.824799225403252e-12;1.156498586132119e-09;True;2
1304;0.8384837176713963;False;100;71;0.71;0.0020231099549179645;confirmada;True;4.986330855368519e-12;6.232964915812863e-10;True;2
1311;0.8354397535473228;False;100;71;0.71;0.002306527009289262;confirmada;True;4.986330855368519e-12;8.83990841074927e-10;True;2
1321;0.8440833021557618;False;100;42;0.42;0.0010223632604947287;tentativa;False;4.986330855368519e-12;1.4316940842540886e-09;True;1
1332;0.9246167634479439;False;100;89;0.89;0.0024966268473763965;confirmada;True;4.986330855368519e-12;8.797240787462704e-10;True;2
1342;1.1365211720376303;True;100;100;1.0;0.011184888230073844;confirmada;True;4.986330855368519e-12;9.51990049406762e-09;True;3
1347;1.2984001776685952;True;100;100;1.0;0.018121361685003362;confirmada;True;5.257161795530841e-12;6.793332330410605e-08;True;3
1357;1.5862958778432594;True;100;100;1.0;0.006175130071496528;confirmada;True;1.3606583147795257e-08;3.4450026458052545e-06;True;3
1367;1.753691384131511;True;100;100;1.0;0.00439399720400474;confirmada;True;4.532128245608989e-07;0.0002348430461369;True;3
1386;1.3654501356136401;True;100;100;1.0;0.002927626938535463;confirmada;True;3.900979817778564e-08;9.45431657479245e-07;True;3
1395;1.1213926085061947;True;100;95;0.95;0.002463692090989342;confirmada;True;5.114240616992989e-12;8.81926188728132e-07;True;3
1398;1.0768319410651108;True;100;95;0.95;0.0022764026545386046;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;3
1414;0.9284177682997664;False;100;73;0.73;0.0016658579087346717;confirmada;True;4.986330855368519e-12;8.993430234092721e-07;True;2
1422;0.8587805088857526;False;100;45;0.45;0.0011348215066528525;tentativa;False;4.986330855368519e-12;8.993430234092721e-07;True;1
1431;0.822955854286565;False;100;45;0.45;0.0012816146501134413;tentativa;False;4.986330855368519e-12;8.892157507528145e-07;True;1
1441;0.8497335753374837;False;100;72;0.72;0.002841674626011223;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;2
1451;0.8980199491392171;False;100;84;0.84;0.004369629253924301;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;2
1461;0.9398849825582603;False;100;94;0.94;0.007329986136964704;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;2
1471;0.9804183680412989;False;100;97;0.97;0.009761724499272338;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;2
1481;1.0215720390097853;True;100;100;1.0;0.012329675036760175;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;3
1492;1.0577061525735283;True;100;100;1.0;0.01565628749394911;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;3
1501;1.081954426996973;True;100;100;1.0;0.01991181424830349;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;3
1511;1.1047627133358524;True;100;100;1.0;0.02001063481937844;confirmada;True;4.986330855368519e-12;8.81926188728132e-07;True;3
1522;1.1224762051124615;True;100;100;1.0;0.019965740403408323;confirmada;True;4.986330855368519e-12;1.10048455486094e-06;True;3
1531;1.1337759736324426;True;100;100;1.0;0.022312238735374718;confirmada;True;4.986330855368519e-12;1.8915260990792303e-06;True;3
1542;1.1396394007244706;True;100;100;1.0;0.018470681211114018;confirmada;True;4.986330855368519e-12;5.811411423867415e-06;True;3
1552;1.140948332438019;True;100;100;1.0;0.012642782125740002;confirmada;True;4.986330855368519e-12;1.59606446214171e-05;True;3
1557;1.1436222904521878;True;100;100;1.0;0.007703003287254697;confirmada;True;5.114240616992989e-12;3.098532168464168e-05;True;3
1567;1.1404628851481586;True;100;98;0.98;0.003916992578828522;confirmada;True;1.9583748409719087e-10;0.0001277668208578;True;3
1582;1.1334133832616555;True;100;69;0.69;0.0019376251182771044;confirmada;True;1.987748775431861e-08;0.0001191447086475;True;3
1588;1.1294280892795519;True;100;55;0.55;0.0012978369390630688;tentativa;False;2.6219688132036157e-08;0.0001235665158436;True;2
1597;1.116248741701444;True;100;33;0.33;0.0009263998565741152;rejeitada;False;6.4943545791768e-08;0.0001482230621352;True;2
1607;1.1032510138530167;True;100;17;0.17;0.000647912924362392;rejeitada;False;5.254864144989665e-07;0.0001675873970592;True;2
1617;1.0782160637250158;True;100;10;0.1;0.0005392995477408246;rejeitada;False;1.4509326346050352e-06;0.0001850383287941;True;2
1627;1.0673091652917357;True;100;6;0.06;0.00046446834402965616;rejeitada;False;1.3167693636115926e-05;0.0001992560898199;True;2
1637;1.0505462717936092;True;100;5;0.05;0.0004330014001401911;rejeitada;False;6.034540611913124e-05;0.0001996583706964;True;2
1647;1.0374573471712365;True;100;4;0.04;0.00041626289404051657;rejeitada;False;0.0001072266138448;0.0001926683589581;True;2
1657;1.0273647704833964;True;100;6;0.06;0.0003497526672068726;rejeitada;False;0.0004433708321489;0.0001725310672057;True;2
1667;1.0222530196203297;True;100;2;0.02;0.0002809650891753454;rejeitada;False;0.0007548243227442;0.0001643075156844;True;2
1677;1.0310743117151173;True;100;1;0.01;0.0003338107831072305;rejeitada;False;0.0009239206666729;0.0001519089980021;True;2
1696;1.0535535105551619;True;100;2;0.02;0.0003394199961731403;rejeitada;False;0.0010226589117641;5.1022097415407074e-05;True;2
1701;1.0613258794281766;True;100;0;0.0;0.0003140895347324637;rejeitada;False;0.000646835133641;4.196349499641282e-05;True;2
1710;1.0801521948851496;True;100;1;0.01;0.00033199526967205635;rejeitada;False;0.000646835133641;4.031392329214984e-05;True;2
1717;1.0939464974448063;True;100;1;0.01;0.00033864847962903027;rejeitada;False;0.0010694071643596;3.172264427797406e-05;True;2
1736;1.070275030798047;True;100;5;0.05;0.0003678995482856026;rejeitada;False;0.0008945737136396;2.201710446387967e-05;True;2
1746;1.0398834418222902;True;100;4;0.04;0.0003818704998555324;rejeitada;False;0.0001467544919333;2.201710446387967e-05;True;2
