grupo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
todas;1517;168;0.9746229761622548;0.003558316381482608;0.017459585881389544;False;False
todas;1518;168;0.9751159574427664;0.004065271071487262;0.018669423883484672;False;False
todas;1519;168;0.9756036820197623;0.004641396602768726;0.01895991351802803;False;False
todas;1520;168;0.9760947597473221;0.0053080468301858075;0.019747873115297566;False;False
todas;1521;168;0.9765670913451032;0.006043762350663191;0.020798249297332556;False;False
todas;1522;168;0.9770522104087926;0.006910691650194156;0.022972169488732926;False;False
todas;1523;168;0.977564555352316;0.007967936039626314;0.025898948997263978;False;False
todas;1524;168;0.978125146049716;0.00931943739735962;0.029316205677890464;False;False
todas;1525;168;0.9786806636651396;0.010894810432204754;0.03233756323654407;False;False
todas;1526;168;0.9792104923609042;0.012655414420764306;0.03625175276115585;False;False
todas;1527;168;0.9797255079320093;0.014650211862012331;0.04017056755212205;False;False
todas;1528;168;0.9802285654540694;0.016913672429187034;0.044646000195962175;False;False
todas;1529;168;0.9807574805088805;0.01968552493063224;0.05021767616010787;False;True
todas;1530;168;0.9813115750199941;0.02309474874116081;0.05536812146357004;False;True
todas;1531;168;0.9818645224912916;0.02710429514694204;0.06197425791123536;False;True
todas;1532;168;0.9823966291367012;0.03163743765290755;0.07107161514360721;False;True
todas;1533;168;0.982938888060611;0.037057491296106866;0.08172571467560771;False;True
todas;1534;168;0.9834702364133423;0.043287175851421375;0.09380900276323254;False;True
todas;1535;168;0.9840046218817855;0.05062643905036511;0.10782432657559589;True;True
todas;1536;168;0.9845708573630098;0.059780529322525755;0.12435077651166361;True;True
todas;1537;168;0.9851483170145422;0.07083082839117937;0.14556515934900688;True;True
todas;1538;168;0.9857028103879615;0.08335392830445182;0.1692662445073571;True;True
todas;1539;168;0.9862229900243086;0.09708482616900244;0.19426436924158438;True;True
todas;1540;168;0.9867227692486358;0.11235886302111348;0.22308618398480518;True;True
todas;1541;168;0.9871745409803822;0.12815976734751344;0.24797705927334915;True;True
todas;1542;168;0.9875875080518294;0.14445930120243589;0.2748478912487904;True;True
todas;1543;168;0.987974591290153;0.16151541262016633;0.30308152907956193;True;True
todas;1544;168;0.9883856482135849;0.18169240098873973;0.3329062804381217;True;True
todas;1545;168;0.9887859643439638;0.20356725274135834;0.36753207339130806;True;True
todas;1546;168;0.9891791636576016;0.22736528918206816;0.40409550096397034;True;True
todas;1547;168;0.9895596405455562;0.25272977255721296;0.43816463526191357;True;True
todas;1548;168;0.9899433473421447;0.2807773709474644;0.474361110225082;True;True
todas;1549;168;0.9903519682074422;0.3135049052835435;0.5132360094651933;True;True
todas;1550;168;0.9907193449108219;0.3455329963576634;0.5397379670276751;True;True
todas;1551;168;0.9911043054557062;0.38178412690029107;0.5831513628528726;True;True
todas;1552;168;0.9914989309874646;0.4217877628050127;0.6337631512916344;True;True
todas;1553;168;0.9918774663314532;0.46277373841541847;0.6710187605753922;True;True
todas;1554;168;0.992210438614234;0.5008001624733219;0.708373195332954;True;True
todas;1555;168;0.9925086506114081;0.5362633626043289;0.7346125015751849;True;True
todas;1556;168;0.9927857484741641;0.5702361560154565;0.7639153206973881;True;True
todas;1557;168;0.993051747488771;0.6035889745544419;0.7785918156045034;True;True
todas;1558;168;0.9933242997212954;0.6382939506514673;0.8004473758007586;True;True
todas;1559;168;0.9935783505124285;0.6708934316513823;0.8202894449716621;True;True
todas;1560;168;0.9937828208703317;0.6971335063922093;0.8351649323715321;True;True
todas;1561;168;0.9939558422465345;0.719223891634539;0.8468014935375658;True;True
todas;1562;168;0.9940912173711678;0.7363702254093667;0.8568091658919019;True;True
todas;1563;168;0.9942955933319854;0.7619126436770355;0.8633406768451632;True;True
todas;1564;168;0.9945088247765458;0.7879550651009462;0.8721510191700165;True;True
todas;1565;168;0.9947017628021384;0.8108175985726446;0.8779794799621592;True;True
todas;1566;168;0.994857750103427;0.8287051537581178;0.8806602437087563;True;True
todas;1567;168;0.9950293002794474;0.8476570641694864;0.8920187986719429;True;True
todas;1568;168;0.9951562839147792;0.861138983128074;0.9006609150411422;True;True
todas;1569;168;0.9952263276479377;0.8683592102215992;0.9040633198804569;True;True
todas;1570;168;0.995325699117033;0.8783222358573319;0.912079742261418;True;True
todas;1571;168;0.9954289654408188;0.8883093117310861;0.9187707505599886;True;True
todas;1572;168;0.9955126130268631;0.8961118169234873;0.9245097266147245;True;True
todas;1573;168;0.9956051388264892;0.9044302610464071;0.9301093410510981;True;True
todas;1574;168;0.9957164008797461;0.9139821243416064;0.9331003760209262;True;True
todas;1575;168;0.9958171895167058;0.9221946364941707;0.9377398113284799;True;True
todas;1576;168;0.9958712092707208;0.9264195065115529;0.940152500390515;True;True
todas;1577;168;0.9958670672120097;0.926099981928707;0.940152500390515;True;True
todas;1578;168;0.9958305667006233;0.9232524719847607;0.9383502577010625;True;True
todas;1579;168;0.9957740868241768;0.9187346244581402;0.934684878354983;True;True
todas;1580;168;0.9957165252411554;0.9139925184914874;0.9331003760209262;True;True
todas;1581;168;0.9956447872250872;0.9078914783908282;0.930205093747634;True;True
todas;1582;168;0.9956010911708204;0.9040733828320626;0.9301093410510981;True;True
todas;1583;168;0.9955705032562173;0.9013555424911021;0.9280523180970133;True;True
todas;1584;168;0.9956100614170605;0.9048634047320312;0.9301093410510981;True;True
todas;1585;168;0.9956531764090404;0.9086157487563231;0.930205093747634;True;True
todas;1586;168;0.9956534469745759;0.9086390604281083;0.930205093747634;True;True
todas;1587;168;0.9956837802067314;0.911233723823933;0.9316751583065236;True;True
todas;1588;168;0.9957090256287433;0.9133645593704527;0.9331003760209262;True;True
todas;1589;168;0.9957337139110483;0.9154230008891707;0.9338717988459221;True;True
todas;1590;168;0.9957408608168526;0.9160141802528436;0.9338717988459221;True;True
todas;1591;168;0.9956700362768484;0.910062717851902;0.9309419622514967;True;True
todas;1592;168;0.9955382499740714;0.8984500296116038;0.9260972276739735;True;True
todas;1593;168;0.9953833373147737;0.8839438490345992;0.9161035039767372;True;True
todas;1594;168;0.995168381187489;0.8623973059963345;0.9007455654924238;True;True
todas;1595;168;0.9949894503696968;0.8433272908020196;0.890661314848065;True;True
todas;1596;168;0.9948479214564918;0.827595560209641;0.8799370108812721;True;True
todas;1597;168;0.9947232588007437;0.8133165170598204;0.8779794799621592;True;True
todas;1598;168;0.9946076744751607;0.799762012021217;0.8751749451217494;True;True
todas;1599;168;0.994480456183584;0.7845331670342099;0.872011174840357;True;True
todas;1600;168;0.994356205436123;0.7693868265382546;0.8646643184821701;True;True
todas;1601;168;0.9942000567404586;0.7500325586361084;0.8589150071259958;True;True
todas;1602;168;0.9939948862449348;0.724184026952532;0.8487859718598778;True;True
todas;1603;168;0.9937868475262377;0.6976492099807292;0.8351649323715321;True;True
todas;1604;168;0.993656380605688;0.6809157880777753;0.8263658469511935;True;True
todas;1605;168;0.9935663854687811;0.6693563259288562;0.8202894449716621;True;True
todas;1606;168;0.9934792415506174;0.6581630648869253;0.8126986430361732;True;True
todas;1607;168;0.9934320994764978;0.6521116180300158;0.8086341768921176;True;True
todas;1608;168;0.9934169902857916;0.6501730278081117;0.8083162935608089;True;True
todas;1609;168;0.9933750504637475;0.6447948860858661;0.8054045745201652;True;True
todas;1610;168;0.9932986926429517;0.6350173011823732;0.7988936629322082;True;True
todas;1611;168;0.9932169184321259;0.6245725560398795;0.7922067485700636;True;True
todas;1612;168;0.9931261066619752;0.6130144066196243;0.7838482219307041;True;True
todas;1613;168;0.9930447544728555;0.6027045697761553;0.7784301464804121;True;True
todas;1614;168;0.9929644729857625;0.5925782896209174;0.7743743783481694;True;True
todas;1615;168;0.9928872630058013;0.5828899988659995;0.7727908129761893;True;True
todas;1616;168;0.9927969208915478;0.5716238200937899;0.764784160104099;True;True
todas;1617;168;0.9926963992923351;0.5591858462970615;0.7576665340348206;True;True
todas;1618;168;0.9926020431619693;0.5476129370388886;0.7462293727714555;True;True
todas;1619;168;0.9925109618572653;0.5365429192392135;0.7346125015751849;True;True
todas;1620;168;0.9924810504296596;0.532930292734728;0.7346125015751849;True;True
todas;1621;168;0.9925088676663181;0.5362896135648711;0.7346125015751849;True;True
todas;1622;168;0.992490391237789;0.5340572115648238;0.7346125015751849;True;True
todas;1623;168;0.9924207572320659;0.5256838406074824;0.7284983493823962;True;True
