grupo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
todas;508;1924;0.9972665783836935;0.0018775278716943926;0.0024218928709718235;False;False
todas;509;1924;0.9973642785096932;0.002511280634758083;0.003183335341093219;False;False
todas;510;1924;0.9974386065515132;0.0031387707853536384;0.003916029530419606;False;False
todas;511;1924;0.9974602678657073;0.0033505144935354774;0.004164791046206827;False;False
todas;512;1924;0.9974404325070925;0.0031560757991296417;0.003932631509122051;False;False
todas;513;1924;0.9973565025743116;0.0024535777512063282;0.003120595477685068;False;False
todas;514;1924;0.9972310187752018;0.0016900720646137485;0.0021938846864068343;False;False
todas;515;1924;0.997081718975809;0.0010910220047194873;0.001450217842955067;False;False
todas;516;1924;0.9970272521537257;0.0009315205980898115;0.0012474456094901858;False;False
todas;517;1924;0.9970013023302754;0.0008642153470328416;0.0011607764746328474;False;False
todas;518;1924;0.9970055153934183;0.0008747906091611074;0.001173443779849203;False;False
todas;519;1924;0.9968656500912947;0.0005858071081586748;0.0007956889926049284;False;False
todas;520;1924;0.9965465014316829;0.00023969993246644456;0.00033307897119829117;False;False
todas;521;1924;0.9962947575207662;0.00012092579022848563;0.00017271503882912537;False;False
todas;522;1924;0.9960895226679987;7.013861073637763e-05;0.00010282651223753433;False;False
todas;523;1924;0.9959522033282106;4.902895604256041e-05;7.276294417025427e-05;False;False
todas;524;1924;0.9958063452022629;3.370186835412703e-05;5.078804702006946e-05;False;False
todas;525;1924;0.9955826016303159;1.9166709383883408e-05;2.9713470103057347e-05;False;False
todas;526;1924;0.9953515835034703;1.0842866875873195e-05;1.7333374873278197e-05;False;False
todas;527;1924;0.9951399009284654;6.505912771890134e-06;1.0674901676117332e-05;False;False
todas;528;1924;0.9949307794350207;3.967722437102995e-06;6.670326818441183e-06;False;False
todas;529;1924;0.994730842822979;2.4953326248927717e-06;4.264939344712562e-06;False;False
todas;530;1924;0.9945453186345252;1.6350777827061427e-06;2.841986891805338e-06;False;False
todas;531;1924;0.9943731963457484;1.1116232766496103e-06;1.955351063815052e-06;False;False
todas;532;1924;0.9942068865927225;7.699586556627927e-07;1.3732045241429458e-06;False;False
todas;533;1924;0.9940454828910893;5.418731674012845e-07;9.90536422762954e-07;False;False
todas;534;1924;0.9939040331356985;3.9988330083976817e-07;7.503757090781011e-07;False;False
todas;535;1924;0.9937697754351573;3.0070850519395405e-07;5.742580485594039e-07;False;False
todas;536;1924;0.9936388984590799;2.2846368795960633e-07;4.4754443553500723e-07;False;False
todas;537;1924;0.9935197773600204;1.783744700210964e-07;3.600846830839259e-07;False;False
todas;538;1924;0.9934092055884373;1.4206984021348492e-07;2.937351232639693e-07;False;False
todas;539;1924;0.9933014398696483;1.1403349635009429e-07;2.4086786922146593e-07;False;False
todas;540;1924;0.9931853716091612;9.0184449422307e-08;1.9227474611762127e-07;False;False
todas;541;1924;0.9930564561721555;6.96710223419813e-08;1.5041607034042488e-07;False;False
todas;542;1924;0.9929325039777722;5.44950229151451e-08;1.1839967372771463e-07;False;False
todas;543;1924;0.9928101980446541;4.286315136086365e-08;9.422542705373134e-08;False;False
todas;544;1924;0.99268978361889;3.391405387877308e-08;7.536048158760953e-08;False;False
todas;545;1924;0.9925815890521488;2.7528940733658377e-08;6.17744610992706e-08;False;False
todas;546;1924;0.9924637197761395;2.1975401121946866e-08;4.96929963628589e-08;False;False
todas;547;1924;0.9923561666919124;1.7922436590686817e-08;4.0934206511691155e-08;False;False
todas;548;1924;0.9922719815267578;1.5296224895141195e-08;3.520124172648081e-08;False;False
todas;549;1924;0.9921969889904394;1.3293602764800023e-08;3.084296297579734e-08;False;False
todas;550;1924;0.9921295216118481;1.1724665034401687e-08;2.7413986158164224e-08;False;False
todas;551;1924;0.9920725871987146;1.0550679329836423e-08;2.4787449376282363e-08;False;False
todas;552;1924;0.9920315583135677;9.780869346148222e-09;2.308465250742233e-08;False;False
todas;553;1924;0.9920119184175626;9.433256360686041e-09;2.234134964869177e-08;False;False
todas;554;1924;0.9920102337782246;9.404043344753194e-09;2.229791086715468e-08;False;False
todas;555;1924;0.9920270275379258;9.699513891435944e-09;2.291901266282848e-08;False;False
todas;556;1924;0.9920673871643929;1.0449725738047068e-08;2.4578426019190984e-08;False;False
todas;557;1924;0.9921386581662514;1.1925346700250304e-08;2.7825808967250708e-08;False;False
todas;558;1924;0.9922397353490905;1.4399217766206006e-08;3.318291644773991e-08;False;False
todas;559;1924;0.9923606725257441;1.8075577303697708e-08;4.123805233579978e-08;False;False
todas;560;1924;0.9925102948376702;2.4015912012111757e-08;5.412817091960573e-08;False;False
todas;561;1924;0.9926925151045999;3.409387793194402e-08;7.567807753075452e-08;False;False
todas;562;1924;0.9928988810937612;5.1002652785440296e-08;1.1116518688941344e-07;False;False
todas;563;1924;0.9931175019775291;7.870145710456782e-08;1.690227104936844e-07;False;False
todas;564;1924;0.993332564288723;1.2148424211237995e-07;2.552911686193558e-07;False;False
todas;565;1924;0.9935650150733458;1.958964106648284e-07;3.923667365952764e-07;False;False
todas;566;1924;0.9938418816039484;3.503105485487189e-07;6.615901796256193e-07;False;False
todas;567;1924;0.9941640443022689;7.010676402085268e-07;1.2557988908888108e-06;False;False
todas;568;1924;0.9944942683279667;1.4573481601700887e-06;2.5416845888680713e-06;False;False
todas;569;1924;0.9948089930203254;2.988193267704905e-06;5.0734970132969866e-06;False;False
todas;570;1924;0.9951065598277298;6.008685026442233e-06;9.91457199455593e-06;False;False
todas;571;1924;0.9953913484556237;1.1948928279202876e-05;1.8983154067114715e-05;False;False
todas;572;1924;0.9956404058460392;2.214849001753565e-05;3.411737772584098e-05;False;False
todas;573;1924;0.995862199114873;3.8878495105768005e-05;5.833196302994161e-05;False;False
todas;574;1924;0.9960663476832587;6.600226727992376e-05;9.69703797930685e-05;False;False
todas;575;1924;0.9962647359523011;0.00011158344205782428;0.00016026445354383587;False;False
todas;576;1924;0.9964464165551123;0.00018222027168029423;0.00025510838035241193;False;False
todas;577;1924;0.9965971464984015;0.000275674024135873;0.00038151648009627224;False;False
todas;578;1924;0.9967487954974547;0.00042088580455426606;0.0005762595361420559;False;False
todas;579;1924;0.9969106394453313;0.0006660399341780662;0.000901681785478029;False;False
todas;580;1924;0.9970707975872457;0.0010569144773594835;0.001406704473111162;False;False
todas;581;1924;0.9972226451679568;0.001648811475381372;0.002143036968318881;False;False
todas;582;1924;0.9973577046469981;0.002462407854187542;0.003127181739280897;False;False
todas;583;1924;0.9974688052235166;0.0034379601984777615;0.0042683149921778985;False;False
todas;584;1924;0.9975550034109025;0.004464191148408781;0.005495831960015853;False;False
todas;585;1924;0.9976223177960112;0.0054816027552835635;0.006696109142993799;False;False
todas;586;1924;0.9976757217895537;0.006456388826090454;0.007780289942603715;False;False
todas;587;1924;0.9977138114083521;0.00725881486538502;0.008575938530475044;False;False
todas;588;1924;0.9977394846056464;0.007856655623378344;0.009176537974686209;False;False
todas;589;1924;0.9977545319693595;0.008230246599303643;0.009563872960437265;False;False
todas;590;1924;0.997763000056582;0.008448429650009465;0.009795211538818209;False;False
todas;591;1924;0.9977642273346722;0.008480537969282257;0.009826883262710683;False;False
todas;592;1924;0.997756670444683;0.008284795469009827;0.009616364180497541;False;False
todas;593;1924;0.9977443143457911;0.007974638041647922;0.009294299150458431;False;False
