posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
174;565;0.0;0.0;0.0
175;545;0.0;0.0;0.0
176;525;0.0;0.0;0.0
177;515;0.0;0.0;0.0
178;415;0.0;0.0;0.0
179;915;0.0;0.0;0.0
180;925;0.0;0.0;0.0
181;935;0.0;0.0;0.0
182;945;0.0;0.0;0.0
183;1225;0.0;0.0;0.0
184;1215;0.0;0.0;0.0
185;1205;0.0;0.0;0.0
186;1195;0.0;0.0;0.0
187;1175;0.0;0.0;0.0
188;1165;0.0;0.0;0.0
189;1155;0.0;0.0;0.0
190;1145;0.0;0.0;0.0
191;1135;0.0;0.0;0.0
192;1125;0.0;0.0;0.0
193;1105;0.0;0.0;0.0
194;1095;0.0;0.0;0.0
195;1075;0.0;0.0;0.0
196;1065;0.0;0.0;0.0
197;1055;0.0;0.0;0.0
198;1045;0.0;0.0;0.0
199;1035;0.0;0.0;0.0
200;1025;0.0;0.0;0.0
201;1015;0.0;0.0;0.0
202;1005;0.0;0.0;0.0
203;995;0.0;0.0;0.0
204;985;0.0;0.0;0.0
205;965;0.0;0.0;0.0
206;2450;0.0;0.0;0.0
