genotipo;dia;limiar_agrupamento_abs_rho;correlacao_maxima_aceita_top;posicao;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;grupo_spearman;vip_pls_da;significativa;vip_acima_de_1;abs_delta_cliff;rho_abs_max_outro_top;distancia_min_outro_top_nm
BR16;D04;0.9;0.9;5;1950;4.989414742836833e-06;6.31684545528293e-05;0.3200217121588089;0.6640625;159;1.7576597280996762;True;True;0.6640625;0.733241758241758;561.0
BR16;D04;0.95;0.95;1;1380;5.630269350745034e-09;5.958922853194248e-07;0.5315873138957816;-0.84765625;104;1.917236372869775;True;True;0.84765625;0.9397435897435895;16.0
BR16;D04;0.95;0.95;2;404;4.294830837146e-08;1.7976934789768255e-06;0.4679280397022333;-0.796875;0;1.8962189610965283;True;True;0.796875;0.5778388278388277;314.0
BR16;D04;0.95;0.95;3;718;9.844018453217998e-09;7.477808091685227e-07;0.5140615307071961;0.833984375;34;1.8954752141489934;True;True;0.833984375;0.8010989010989013;314.0
BR16;D04;0.95;0.95;4;1362;5.3882783467854844e-08;2.085162054576798e-06;0.4608357242555831;-0.791015625;102;1.8312953805977736;True;True;0.791015625;0.8633699633699635;18.0
BR16;D04;0.95;0.95;5;1396;7.836135331371368e-08;2.3987930693496526e-06;0.4491315136476427;-0.78125;106;1.7983426753202163;True;True;0.78125;0.9397435897435895;16.0
BR16;D05;0.8;0.8;1;1833;2.637510085515891e-05;2.8697788781926223e-05;0.2687529078784119;0.611328125;145;1.2851614659205692;True;True;0.611328125;0.7907509157509158;81.0
BR16;D05;0.8;0.8;2;1557;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;117;1.2327744541104264;True;True;1.0;0.7997710622710619;81.0
BR16;D05;0.8;0.8;3;739;1.4396425455681949e-11;2.841873783407476e-11;0.7195903768610422;-0.982421875;35;1.1927373192044637;True;True;0.982421875;0.7887362637362637;818.0
BR16;D05;0.8;0.8;4;1638;4.075650793223015e-09;5.310774953558071e-09;0.5417299937965261;0.85546875;125;1.1402273066540611;True;True;0.85546875;0.7997710622710619;81.0
BR16;D05;0.8;0.8;5;1914;0.0001101732511514;0.0001159391165272;0.2250620347394541;0.5625;153;1.0728323077364137;True;True;0.5625;0.7887362637362637;81.0
BR16;D05;0.9;0.9;1;1849;2.7985078347434786e-05;3.0433401744744823e-05;0.2669354838709677;0.609375;149;1.2520363909322851;True;True;0.609375;0.8083333333333332;193.0
BR16;D05;0.9;0.9;2;1550;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;119;1.2219980791110563;True;True;1.0;0.8735347985347984;60.0
BR16;D05;0.9;0.9;3;1610;5.6600257038351806e-11;1.0200977784328608e-10;0.6763647642679901;0.953125;125;1.1772783115525969;True;True;0.953125;0.8994047619047619;46.0
BR16;D05;0.9;0.9;4;745;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;37;1.1686091123840558;True;True;1.0;0.8270146520146524;805.0
BR16;D05;0.9;0.9;5;1656;3.174061275680906e-06;3.5361214972414657e-06;0.3340056994416874;0.677734375;130;1.1486949645901792;True;True;0.677734375;0.8994047619047619;46.0
BR16;D05;0.95;0.95;1;1843;4.467771099432264e-05;4.815238321038137e-05;0.252605459057072;0.59375;154;1.3036715499901548;True;True;0.59375;0.7904304029304028;211.0
BR16;D05;0.95;0.95;2;1553;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;124;1.2306037677320276;True;True;1.0;0.9378663003663006;39.0
BR16;D05;0.95;0.95;3;1592;7.496890411186199e-12;1.674958848948028e-11;0.7402101426799007;0.99609375;128;1.2142243412073628;True;True;0.99609375;0.9399267399267397;39.0
BR16;D05;0.95;0.95;4;741;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;40;1.1880410171969513;True;True;1.0;0.7994505494505499;812.0
