posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
67;1367;0.0;0.0;0.001215574548907882;4.148004614796324e-07;8.550309009997248e-07;0.3971648185483871;-0.736328125;True;0.736328125
68;1520;0.0;0.0;0.001215574548907882;1.758925589356902e-07;5.281927355448032e-07;0.42389403691067;0.759765625;True;0.759765625
69;1740;0.0;0.0;0.0011797235023041472;0.2827454599327714;0.3006277544438124;0.0024813895781637;0.15625;False;0.15625
70;2206;0.0;0.0;0.001179723502304147;0.0013315590671429;0.00154907977692;0.1499718905086849;0.466796875;True;0.466796875
71;2376;0.0;0.0;0.0010714285714285715;2.522444148665491e-07;5.819497130385739e-07;0.4126550868486353;0.75;True;0.75
72;710;0.0;0.0;0.0008982456140350876;0.5912081034113328;0.6087187851890781;0.0;-0.078125;False;0.078125
73;1007;0.0;0.0;0.0008596630441032717;2.607942921578752e-06;3.633757426737785e-06;0.3400860732009926;-0.68359375;True;0.68359375
74;1570;0.0;0.0;0.0008341479309221245;1.4138133590253876e-07;4.722689249773729e-07;0.4307071960297767;0.765625;True;0.765625
75;2396;0.0;0.0;0.000642857142857143;6.262373147189395e-08;2.9324491609327505e-07;0.4561365927419355;0.787109375;True;0.787109375
76;1690;0.0;0.0;0.0006114050558495;0.4766882534921879;0.497550945502533;0.0;-0.103515625;False;0.103515625
77;1097;0.0;0.0;0.0006072106261859579;5.886588158308331e-07;1.073190427794701e-06;0.3862748138957816;-0.7265625;True;0.7265625
78;2146;0.0;0.0;0.0006060606060606056;7.776654880628724e-06;1.0479578948863018e-05;0.3063226969602978;0.650390625;True;0.650390625
79;1600;0.0;0.0;0.00060475724991854;5.668857326169108e-06;7.679541859955641e-06;0.3160786290322581;0.66015625;True;0.66015625
80;927;0.0;0.0;0.0005019607843137254;5.120132084305014e-07;9.796073605326104e-07;0.3906133684863523;-0.73046875;True;0.73046875
81;695;0.0;0.0;0.00045625174046226677;9.789954437531725e-08;4.0400797890095697e-07;0.4421787763647643;-0.775390625;True;0.775390625
82;2326;0.0;0.0;0.0004270937604270937;4.216549447865922e-05;5.42543470362171e-05;0.2543763570099256;0.595703125;True;0.595703125
83;1420;0.0;0.0;0.00034124233537723245;3.601629295138164e-07;7.686723917095081e-07;0.4015615307071961;0.740234375;True;0.740234375
84;702;0.0;0.0;0.00019668791598616105;0.0001997585576739;0.0002492121665385;0.2069895704094292;-0.541015625;True;0.541015625
85;1490;0.0;0.0;0.00010756302521008414;1.054034701684782e-07;4.2723817651294235e-07;0.4398728287841191;0.7734375;True;0.7734375
86;415;0.0;0.0;0.0;3.5993478130514523e-10;5.1624212339640074e-09;0.6180472627171215;-0.912109375;True;0.912109375
